ph,ph_s,wt,wt_s,ec,ec_s,status
7.636,1,55,1,3.648,1,111
2.167,2,36,1,2.473,1,211
1.856,2,35,1,3.897,1,211
12.342,1,12,2,0.122,2,122
2.436,2,31,1,4.064,1,211
3.375,2,69,1,1.84,1,211
0.074,2,6,2,4.839,1,221
7.729,1,10,2,4.907,1,121
10.33,1,20,0,0.397,2,102
1.398,2,36,1,4.895,1,211
1.987,2,78,1,1.699,0,210
10.037,1,34,1,4.938,1,111
10.351,1,67,1,3.66,1,111
12.907,1,26,0,2.109,1,101
6.426,0,4,2,0.609,2,022
9.793,1,87,1,4.197,1,111
0.799,2,45,1,0.443,2,212
6.285,0,3,2,1.736,0,020
8.152,1,2,2,2.624,1,121
1.251,2,80,1,1.213,0,210
9.849,1,13,2,1.133,2,122
3.509,2,59,1,4.099,1,211
5.507,2,35,1,2.126,1,211
5.704,2,4,2,2.021,1,221
1.197,2,80,1,4.072,1,211
7.113,1,34,1,3.88,1,111
6.526,0,65,1,1.781,0,010
2.367,2,56,1,2.957,1,211
11.834,1,52,1,4.244,1,111
7.416,1,0,2,3.153,1,121
5.121,2,58,1,0.006,2,212
10.917,1,75,1,3.695,1,111
8.978,1,73,1,3.908,1,111
6.806,0,15,2,0.422,2,022
8.801,1,86,1,1.707,0,110
0.636,2,4,2,0.178,2,222
0.758,2,65,1,1.534,0,210
10.632,1,71,1,1.27,0,110
13.15,1,12,2,4.542,1,121
0.712,2,86,1,0.819,2,212
10.594,1,71,1,3.105,1,111
13.408,1,75,1,3.326,1,111
6.458,0,18,2,0.348,2,022
11.178,1,40,1,3.285,1,111
11.4,1,32,1,2.919,1,111
7.6,1,14,2,4.98,1,121
3.341,2,70,1,3.835,1,211
6.926,0,18,2,0.302,2,022
7.974,1,31,1,0.058,2,112
2.839,2,55,1,1.423,0,210
9.526,1,57,1,0.393,2,112
8.302,1,41,1,3.849,1,111
12.111,1,67,1,0.64,2,112
6.146,0,24,0,1.728,0,000
8.781,1,15,2,0.934,2,122
1.672,2,46,1,1.141,2,212
9.516,1,2,2,3.917,1,121
3.138,2,28,1,2.302,1,211
4.642,2,71,1,0.675,2,212
13.954,1,79,1,0.286,2,112
6.913,0,6,2,2.496,1,021
5.584,2,93,1,0.911,2,212
6.022,0,19,0,1.484,0,000
7.301,1,87,1,0.096,2,112
11.652,1,1,2,3.373,1,121
0.273,2,23,0,0.888,2,202
1.118,2,18,0,1.354,0,200
9.828,1,54,1,4.574,1,111
12.24,1,64,1,1.792,0,110
1.79,2,68,1,1.735,0,210
12.956,1,45,1,0.551,2,112
9.04,1,11,2,2.034,1,121
6.447,0,1,2,2.591,1,021
5.249,2,100,1,3.068,1,211
9.391,1,63,1,4.274,1,111
6.045,0,64,1,0.719,2,012
11.976,1,7,2,2.02,1,121
12.278,1,60,1,3.201,1,111
13.552,1,21,0,1.955,1,101
0.581,2,45,1,2.808,1,211
9.003,1,14,2,0.722,2,122
8.726,1,18,0,0.616,2,102
9.596,1,55,1,4.994,1,111
0.314,2,5,2,4.34,1,221
12.537,1,31,1,4.324,1,111
13.774,1,62,1,0.643,2,112
7.035,1,12,2,0.501,2,122
1.036,2,24,0,1.171,2,202
11.253,1,31,1,3.57,1,111
3.506,2,14,2,1.255,0,220
2.405,2,96,1,3.098,1,211
6.542,0,57,1,3.922,1,011
13.6,1,13,2,0.588,2,122
11.25,1,61,1,3.222,1,111
0.266,2,43,1,1.439,0,210
1.788,2,4,2,3.615,1,221
11.597,1,35,1,0.682,2,112
7.898,1,6,2,3.116,1,121
4.123,2,62,1,3.212,1,211
13.132,1,76,1,4.046,1,111
11.442,1,2,2,2.534,1,121
0.867,2,48,1,3.855,1,211
10.668,1,33,1,1.845,1,111
7.484,1,11,2,4.57,1,121
5.318,2,95,1,0.63,2,212
6.284,0,37,1,3.284,1,011
11.211,1,61,1,3.186,1,111
11.496,1,16,2,0.432,2,122
5.589,2,11,2,1.591,0,220
7.207,1,22,0,2.25,1,101
5.242,2,80,1,0.028,2,212
1.231,2,81,1,3.796,1,211
13.918,1,93,1,4.862,1,111
11.346,1,58,1,0.339,2,112
3.59,2,70,1,3.098,1,211
9.489,1,96,1,3.817,1,111
2.313,2,77,1,0.432,2,212
1.613,2,28,1,4.163,1,211
2.023,2,55,1,1.672,0,210
0.388,2,64,1,3.41,1,211
10.131,1,80,1,0.393,2,112
9.287,1,86,1,4.83,1,111
11.207,1,22,0,3.386,1,101
0.25,2,8,2,3.878,1,221
11.453,1,61,1,3.328,1,111
13.812,1,90,1,2.453,1,111
8.374,1,94,1,1.693,0,110
6.328,0,23,0,1.471,0,000
2.356,2,51,1,4.864,1,211
2.129,2,73,1,2.628,1,211
12.104,1,37,1,2.747,1,111
7.522,1,98,1,2.143,1,111
1.331,2,20,0,2.127,1,201
10.041,1,0,2,4.665,1,121
0.738,2,24,0,4.634,1,201
9.205,1,84,1,4.631,1,111
8.874,1,9,2,2.884,1,121
13.873,1,90,1,1.796,0,110
4.448,2,54,1,4.163,1,211
6.216,0,15,2,4.735,1,021
10.159,1,30,1,4.806,1,111
1.923,2,2,2,3.606,1,221
5.067,2,47,1,4.613,1,211
5.039,2,71,1,4.437,1,211
5.641,2,98,1,0.841,2,212
5.206,2,14,2,4.795,1,221
11.371,1,56,1,2.337,1,111
11.608,1,52,1,4.028,1,111
8.836,1,16,2,3.651,1,121
5.363,2,54,1,0.835,2,212
0.859,2,56,1,0.217,2,212
12.817,1,60,1,0.907,2,112
9.004,1,42,1,4.9,1,111
2.961,2,32,1,3.607,1,211
6.33,0,0,2,1.074,2,022
7.849,1,93,1,1.317,0,110
12.216,1,15,2,2.09,1,121
4.988,2,6,2,0.822,2,222
6.761,0,47,1,3.819,1,011
11.201,1,100,1,3.926,1,111
6.445,0,50,1,2.386,1,011
12.907,1,74,1,4.346,1,111
1.719,2,38,1,0.927,2,212
9.299,1,37,1,1.53,0,110
13.781,1,6,2,3.867,1,121
9.34,1,10,2,3.723,1,121
6,0,43,1,1.982,1,011
4.184,2,73,1,1.454,0,210
2.476,2,78,1,0.612,2,212
6.608,0,11,2,0.491,2,022
4.962,2,15,2,1.846,1,221
6.343,0,72,1,3.439,1,011
5.327,2,26,0,1.478,0,200
1.498,2,46,1,1.243,0,210
13.215,1,85,1,1.992,1,111
10.374,1,83,1,1.319,0,110
12.42,1,65,1,4.067,1,111
2.545,2,61,1,0.558,2,212
12.631,1,87,1,0.707,2,112
11.557,1,42,1,0.686,2,112
1.308,2,99,1,2.903,1,211
8.791,1,53,1,3.575,1,111
4.998,2,12,2,1.937,1,221
3.352,2,19,0,3.375,1,201
5.915,2,30,1,4.447,1,211
2.787,2,54,1,2.037,1,211
11.706,1,83,1,3.766,1,111
9.49,1,25,0,0.25,2,102
5.908,2,68,1,3.864,1,211
12.103,1,41,1,3.927,1,111
10.868,1,12,2,2.273,1,121
6.283,0,7,2,3.451,1,021
9.67,1,25,0,0.675,2,102
6.628,0,14,2,1.004,2,022
4.188,2,77,1,1.584,0,210
6.903,0,4,2,0.889,2,022
0.933,2,0,2,3.882,1,221
10.922,1,20,0,0.37,2,102
8.934,1,43,1,0.127,2,112
2.477,2,62,1,2.889,1,211
2.508,2,60,1,3.144,1,211
5.516,2,34,1,0.633,2,212
6.077,0,23,0,1.725,0,000
10.275,1,23,0,0.686,2,102
10.973,1,53,1,3.753,1,111
5.209,2,90,1,0.576,2,212
12.619,1,11,2,0.071,2,122
0.488,2,91,1,4.991,1,211
4.87,2,42,1,3.636,1,211
4.171,2,4,2,4.193,1,221
8.383,1,16,2,4.413,1,121
4.989,2,76,1,1.564,0,210
5.941,2,55,1,1.835,1,211
6.096,0,9,2,0.34,2,022
5.369,2,60,1,4.178,1,211
8.992,1,49,1,0.191,2,112
1.869,2,1,2,1.712,0,220
9.597,1,43,1,2.438,1,111
0.625,2,6,2,4.753,1,221
7.149,1,5,2,1.354,0,120
10.959,1,78,1,3.533,1,111
9.038,1,48,1,3.235,1,111
1.95,2,32,1,0.942,2,212
11.88,1,52,1,0.729,2,112
9.663,1,7,2,0.837,2,122
5.301,2,47,1,4.961,1,211
0.275,2,67,1,1.742,0,210
9.983,1,79,1,4.297,1,111
9.783,1,91,1,3.133,1,111
8.162,1,49,1,0.778,2,112
6.388,0,19,0,1.731,0,000
10.18,1,36,1,0.126,2,112
9.278,1,100,1,4.498,1,111
5.302,2,73,1,0.108,2,212
1.246,2,48,1,3.497,1,211
1.237,2,0,2,2.367,1,221
13.109,1,57,1,1.331,0,110
8.313,1,40,1,1.404,0,110
3.549,2,76,1,1.659,0,210
2.671,2,91,1,3.125,1,211
1.236,2,54,1,2.811,1,211
2.815,2,86,1,0.782,2,212
4.976,2,64,1,3.374,1,211
5.708,2,56,1,1.902,1,211
12.084,1,100,1,4.808,1,111
13.409,1,74,1,4.454,1,111
2.954,2,9,2,2.962,1,221
10.129,1,67,1,1.958,1,111
7.015,1,43,1,0.15,2,112
0.874,2,5,2,2.349,1,221
1.185,2,94,1,0.211,2,212
4.282,2,63,1,0.148,2,212
6.389,0,93,1,4.208,1,011
4.673,2,43,1,2.192,1,211
2.685,2,63,1,1.636,0,210
1.174,2,22,0,0.138,2,202
6.343,0,42,1,3.329,1,011
13.387,1,36,1,3.408,1,111
12.567,1,21,0,2.26,1,101
6.54,0,11,2,0.571,2,022
1.243,2,49,1,1.27,0,210
9.031,1,89,1,2.466,1,111
4.51,2,95,1,0.328,2,212
11.401,1,1,2,2.004,1,121
5.193,2,27,1,2.33,1,211
2.36,2,39,1,3.668,1,211
7.067,1,66,1,0.19,2,112
11.29,1,94,1,0.219,2,112
12.557,1,13,2,1.385,0,120
8.897,1,19,0,2.886,1,101
4.137,2,2,2,3.669,1,221
0.763,2,43,1,3.12,1,211
5.41,2,59,1,1.527,0,210
2.785,2,61,1,3.673,1,211
10.034,1,7,2,0.4,2,122
7.692,1,72,1,1.174,2,112
4.626,2,78,1,0.359,2,212
7.469,1,4,2,2.61,1,121
9.922,1,55,1,2.176,1,111
13.129,1,78,1,4.484,1,111
5.986,2,23,0,1.914,1,201
1.745,2,47,1,3.165,1,211
6.079,0,26,0,1.756,0,000
10.067,1,60,1,3.699,1,111
2.68,2,57,1,1.731,0,210
10.029,1,44,1,0.394,2,112
2.282,2,69,1,2.151,1,211
10.503,1,78,1,1.181,2,112
10.39,1,79,1,1.603,0,110
10.524,1,93,1,4.71,1,111
0.604,2,68,1,2.036,1,211
2.734,2,61,1,1.612,0,210
7.536,1,73,1,4.944,1,111
13.497,1,63,1,2.326,1,111
4.509,2,85,1,1.116,2,212
13.769,1,29,1,0.707,2,112
8.552,1,62,1,1.552,0,110
3.21,2,71,1,1.517,0,210
8.757,1,53,1,3.347,1,111
6.236,0,23,0,2.157,1,001
2.09,2,0,2,4.304,1,221
0.161,2,34,1,0.375,2,212
6.543,0,20,0,1.225,0,000
7.832,1,53,1,0.805,2,112
9.952,1,56,1,2.729,1,111
9.657,1,76,1,2.519,1,111
12.253,1,90,1,0.584,2,112
0.132,2,1,2,2.112,1,221
8.586,1,38,1,1.265,0,110
9.48,1,30,1,1.568,0,110
4.191,2,6,2,0.835,2,222
12.804,1,56,1,0.071,2,112
0.093,2,51,1,2.074,1,211
1.175,2,80,1,1.614,0,210
9.176,1,95,1,3.8,1,111
8.31,1,36,1,4.951,1,111
6.179,0,2,2,0.952,2,022
10.166,1,41,1,3.032,1,111
5.488,2,27,1,1.693,0,210
5.338,2,100,1,3.746,1,211
0.206,2,12,2,1.509,0,220
11.348,1,34,1,2.347,1,111
9.776,1,33,1,3.148,1,111
2.499,2,9,2,2.246,1,221
9.297,1,30,1,0.9,2,112
4.152,2,70,1,1.391,0,210
4.275,2,25,0,3.52,1,201
6.822,0,18,0,1.526,0,000
6.175,0,91,1,0.091,2,012
6.196,0,19,0,1.25,0,000
13.623,1,58,1,1.69,0,110
7.761,1,9,2,4.899,1,121
10.659,1,14,2,1.799,0,120
9.97,1,61,1,3.002,1,111
3.363,2,84,1,3.172,1,211
8.156,1,10,2,4.042,1,121
6.171,0,25,0,0.329,2,002
4.464,2,71,1,3.968,1,211
11.224,1,90,1,4.47,1,111
10.072,1,20,0,4.361,1,101
11.521,1,19,0,3.293,1,101
13.709,1,81,1,1.882,1,111
6.324,0,19,0,1.262,0,000
0.441,2,57,1,2.878,1,211
11.083,1,13,2,1.7,0,120
6.189,0,34,1,4.625,1,011
8.173,1,46,1,4.137,1,111
7.145,1,86,1,4.285,1,111
3.603,2,6,2,4.241,1,221
0.639,2,92,1,1.122,2,212
0.032,2,84,1,0.368,2,212
8.683,1,94,1,4.344,1,111
6.961,0,8,2,3.254,1,021
13.504,1,0,2,1.037,2,122
6.182,0,73,1,0.459,2,012
7.525,1,96,1,4.539,1,111
1.388,2,11,2,3.245,1,221
5.194,2,72,1,3.401,1,211
13.285,1,14,2,4.994,1,121
8.768,1,72,1,3.732,1,111
10.927,1,46,1,4.097,1,111
11.804,1,81,1,4.515,1,111
6.642,0,19,0,1.406,0,000
1.783,2,34,1,2.582,1,211
8.779,1,95,1,2.189,1,111
1.6,2,45,1,4.253,1,211
11.167,1,25,0,2.309,1,101
9.289,1,8,2,4.239,1,121
10.216,1,41,1,0.052,2,112
4.799,2,48,1,2.763,1,211
0.905,2,67,1,2.011,1,211
2.321,2,68,1,3.214,1,211
0.766,2,68,1,3.034,1,211
2.835,2,75,1,1.682,0,210
8.911,1,7,2,3.023,1,121
4.039,2,15,2,3.95,1,221
4.318,2,83,1,1.73,0,210
1.846,2,5,2,2.724,1,221
3.078,2,61,1,2.106,1,211
6.264,0,8,2,0.769,2,022
3.14,2,11,2,4.099,1,221
13.892,1,31,1,1.786,0,110
1.195,2,73,1,4.153,1,211
7.686,1,31,1,1.779,0,110
11.623,1,97,1,0.674,2,112
6.262,0,73,1,0.48,2,012
8.483,1,86,1,3.272,1,111
12.83,1,29,1,2.707,1,111
5.467,2,5,2,3.849,1,221
3.231,2,65,1,3.98,1,211
9.535,1,13,2,0.712,2,122
9.716,1,54,1,4.814,1,111
6.243,0,38,1,0.597,2,012
12.741,1,58,1,2.392,1,111
6.895,0,42,1,3.937,1,011
13.717,1,65,1,0.426,2,112
12.791,1,43,1,0.193,2,112
10.501,1,69,1,3.762,1,111
1.859,2,36,1,0.372,2,212
2.876,2,91,1,2.752,1,211
7.817,1,20,0,4.777,1,101
10.259,1,76,1,3.378,1,111
9.737,1,23,0,2.63,1,101
8.093,1,32,1,1.477,0,110
10.729,1,42,1,1.595,0,110
13.365,1,19,0,0.729,2,102
9.999,1,35,1,2.167,1,111
11.652,1,84,1,1.338,0,110
0.058,2,91,1,4.691,1,211
6.368,0,39,1,0.2,2,012
9.965,1,77,1,3.786,1,111
4.222,2,74,1,4.667,1,211
12.204,1,64,1,0.026,2,112
9.567,1,78,1,3.152,1,111
1.794,2,100,1,4,1,211
9.482,1,42,1,4.786,1,111
1.327,2,7,2,3.881,1,221
12.326,1,33,1,4.242,1,111
3.651,2,41,1,4.918,1,211
9.154,1,33,1,3.435,1,111
6.224,0,87,1,1.708,0,010
5.925,2,89,1,0.52,2,212
8.765,1,1,2,3.244,1,121
2.943,2,51,1,1.962,1,211
9.017,1,18,0,3.7,1,101
0.152,2,60,1,3.063,1,211
11.59,1,63,1,2.954,1,111
2.443,2,46,1,3.707,1,211
10.805,1,6,2,1.758,0,120
0.388,2,27,1,4.114,1,211
10.249,1,56,1,1.516,0,110
6.383,0,44,1,1.116,2,012
7.23,1,91,1,2.044,1,111
8.423,1,95,1,1.517,0,110
2.765,2,17,2,4.417,1,221
10.639,1,69,1,1.859,1,111
0.695,2,48,1,4.934,1,211
9.258,1,23,0,0.468,2,102
10.71,1,94,1,3.236,1,111
10.006,1,96,1,0.106,2,112
2.768,2,71,1,2.44,1,211
12.642,1,16,2,2.599,1,121
13.925,1,85,1,1.753,0,110
6.561,0,55,1,0.785,2,012
2.157,2,98,1,3.618,1,211
13.934,1,65,1,1.186,2,112
4.684,2,43,1,3.568,1,211
12.696,1,78,1,2.092,1,111
6.184,0,88,1,0.541,2,012
8.057,1,46,1,4.138,1,111
4.223,2,4,2,4.23,1,221
0.507,2,8,2,4.444,1,221
9.639,1,97,1,0.407,2,112
2.299,2,100,1,0.975,2,212
0.407,2,92,1,4.625,1,211
13.617,1,83,1,4.055,1,111
12.648,1,81,1,3.782,1,111
4.666,2,37,1,4.932,1,211
8.152,1,23,0,1.778,0,100
1.344,2,66,1,3.623,1,211
6.029,0,95,1,1.353,0,010
12.14,1,69,1,4.337,1,111
2.563,2,89,1,4.341,1,211
6.723,0,22,0,1.382,0,000
6.04,0,50,1,1.761,0,010
3.58,2,98,1,2.607,1,211
4.762,2,30,1,0.322,2,212
6.305,0,21,0,1.248,0,000
10.661,1,7,2,2.798,1,121
10.646,1,75,1,4.154,1,111
12.334,1,63,1,4.028,1,111
3.634,2,45,1,4.766,1,211
2.587,2,95,1,1.809,1,211
6.814,0,91,1,0.869,2,012
6.675,0,4,2,0.435,2,022
6.154,0,4,2,1.014,2,022
5.65,2,38,1,2.242,1,211
4.47,2,53,1,0.018,2,212
8.906,1,94,1,1.976,1,111
6.954,0,73,1,2.179,1,011
5.357,2,7,2,3.667,1,221
5.105,2,2,2,0.466,2,222
3.444,2,56,1,4.915,1,211
3.258,2,34,1,0.704,2,212
5.895,2,26,0,4.139,1,201
10.899,1,98,1,4.7,1,111
4.078,2,91,1,3.557,1,211
3.467,2,78,1,2.95,1,211
13.944,1,81,1,0.767,2,112
13.848,1,48,1,3.602,1,111
6.292,0,56,1,1.731,0,010
10.354,1,38,1,0.074,2,112
3.745,2,26,0,1.199,2,202
6.874,0,68,1,2.486,1,011
0.812,2,21,0,2.418,1,201
6.07,0,10,2,0.858,2,022
6.716,0,26,0,1.786,0,000
4.108,2,28,1,4.552,1,211
0.635,2,27,1,2.182,1,211
8.707,1,47,1,2.603,1,111
11.659,1,74,1,1.686,0,110
12.959,1,99,1,2.352,1,111
0.259,2,96,1,0.24,2,212
12.33,1,20,0,4.102,1,101
11.069,1,73,1,3.774,1,111
1.481,2,55,1,2.083,1,211
6.022,0,90,1,2.723,1,011
13.541,1,32,1,0.793,2,112
2.111,2,50,1,2.865,1,211
3.133,2,0,2,1.286,0,220
12.556,1,42,1,2.343,1,111
8.73,1,70,1,0.642,2,112
9.718,1,28,1,2.174,1,111
4.769,2,27,1,1.551,0,210
11.172,1,98,1,1.385,0,110
10.9,1,72,1,1.473,0,110
1.318,2,18,0,0.567,2,202
3.116,2,50,1,0.306,2,212
6.526,0,9,2,0.664,2,022
0.348,2,54,1,1.299,0,210
1.2,2,6,2,0.61,2,222
1.777,2,29,1,0.566,2,212
5.731,2,78,1,2.93,1,211
6.677,0,34,1,1.768,0,010
1.764,2,96,1,0.202,2,212
5.116,2,92,1,0.3,2,212
0.913,2,73,1,3.172,1,211
4.49,2,6,2,4.779,1,221
11.063,1,39,1,2.91,1,111
7.252,1,1,2,4.809,1,121
5.693,2,63,1,4.544,1,211
10.492,1,30,1,1.551,0,110
8.054,1,55,1,3.244,1,111
2.983,2,45,1,2.508,1,211
5.097,2,57,1,2.616,1,211
11.66,1,24,0,3.902,1,101
13.438,1,61,1,0.035,2,112
4.925,2,14,2,1.236,0,220
4.981,2,80,1,3.817,1,211
0.614,2,34,1,0.079,2,212
2.281,2,6,2,2.461,1,221
13.292,1,54,1,1.705,0,110
8.007,1,7,2,0.743,2,122
12.321,1,89,1,1.913,1,111
5.32,2,65,1,1.646,0,210
7.566,1,25,0,4.383,1,101
6.358,0,10,2,1.011,2,022
13.568,1,33,1,2.42,1,111
7.434,1,62,1,2.807,1,111
0.829,2,24,0,1.415,0,200
4.55,2,43,1,3.051,1,211
7.253,1,27,1,1.899,1,111
7.006,1,27,1,0.882,2,112
11.614,1,75,1,0.003,2,112
11.222,1,86,1,3.633,1,111
10.608,1,35,1,4.867,1,111
4.418,2,36,1,0.181,2,212
11.094,1,62,1,2.985,1,111
3.688,2,1,2,2.763,1,221
10.736,1,57,1,0.26,2,112
10.084,1,76,1,0.409,2,112
9.454,1,85,1,1.528,0,110
4.929,2,80,1,4.865,1,211
2.139,2,44,1,1.496,0,210
0.735,2,29,1,2.794,1,211
6.284,0,25,0,1.314,0,000
1.161,2,20,0,4.925,1,201
11.56,1,83,1,3.566,1,111
0.663,2,21,0,0.986,2,202
10.418,1,17,2,2.187,1,121
8.735,1,97,1,2.946,1,111
8.989,1,94,1,3.745,1,111
6.934,0,19,0,1.596,0,000
11.368,1,77,1,3.373,1,111
3.601,2,76,1,1.36,0,210
10.532,1,46,1,0.78,2,112
6.593,0,92,1,2.105,1,011
2.321,2,94,1,1.896,1,211
11.97,1,37,1,3.098,1,111
2.915,2,38,1,2.091,1,211
7.823,1,79,1,3.665,1,111
9.567,1,79,1,2.372,1,111
13.282,1,4,2,4.832,1,121
10.501,1,15,2,1.239,0,120
11.206,1,90,1,2.28,1,111
3.142,2,55,1,0.468,2,212
6.404,0,17,2,0.635,2,022
0.123,2,8,2,3.196,1,221
5.075,2,45,1,2.098,1,211
9.842,1,95,1,4.364,1,111
9.875,1,6,2,3.926,1,121
7.333,1,17,2,3.342,1,121
4.862,2,97,1,4.548,1,211
5.434,2,19,0,3.816,1,201
4.666,2,75,1,4.921,1,211
8.589,1,68,1,3.722,1,111
7.961,1,21,0,1.079,2,102
3.924,2,40,1,0.697,2,212
2.414,2,31,1,0.889,2,212
0.96,2,44,1,4.729,1,211
13.485,1,3,2,3.778,1,121
5.763,2,18,0,0.669,2,202
3.718,2,87,1,4.34,1,211
6.234,0,81,1,0.271,2,012
12.697,1,27,1,4.582,1,111
4.118,2,47,1,3.221,1,211
6.312,0,18,2,0.123,2,022
2.346,2,99,1,3.721,1,211
11.85,1,28,1,1.79,0,110
0.633,2,17,2,2.698,1,221
1.554,2,3,2,1.07,2,222
0.395,2,23,0,4.404,1,201
3.053,2,18,0,0.038,2,202
2.832,2,20,0,2.819,1,201
8.927,1,96,1,2.209,1,111
1.892,2,44,1,4.553,1,211
6.382,0,96,1,2.224,1,011
8.349,1,2,2,1.254,0,120
10.877,1,80,1,1.582,0,110
1.564,2,13,2,2.166,1,221
5.047,2,47,1,1.468,0,210
0.576,2,28,1,0.171,2,212
13.135,1,46,1,0.856,2,112
10.471,1,28,1,0.745,2,112
4.478,2,91,1,1.47,0,210
6.245,0,70,1,4.836,1,011
4.99,2,64,1,3.826,1,211
6.249,0,50,1,3.613,1,011
8.438,1,96,1,3.199,1,111
13.046,1,14,2,3.494,1,121
10.96,1,7,2,3.575,1,121
8.456,1,0,2,2.214,1,121
4.32,2,100,1,4.857,1,211
6.608,0,60,1,4.67,1,011
0.92,2,76,1,0.58,2,212
6.725,0,1,2,0.928,2,022
10.018,1,51,1,1,2,112
6.339,0,24,0,1.647,0,000
0.445,2,21,0,3.601,1,201
8.189,1,52,1,1.46,0,110
0.513,2,92,1,2.904,1,211
7.585,1,78,1,0.566,2,112
2.588,2,5,2,0.475,2,222
12.167,1,69,1,0.866,2,112
1.075,2,78,1,3.387,1,211
10.547,1,77,1,3.797,1,111
10.146,1,77,1,3.382,1,111
12.998,1,38,1,3.077,1,111
3.192,2,66,1,2.552,1,211
0.574,2,89,1,2.484,1,211
7.853,1,27,1,4.198,1,111
1.206,2,21,0,2.46,1,201
8.507,1,39,1,0.473,2,112
12.648,1,57,1,4.707,1,111
8.341,1,84,1,0.101,2,112
12.843,1,27,1,3.61,1,111
6.85,0,9,2,0.808,2,022
1.073,2,40,1,4.933,1,211
9.2,1,1,2,0.805,2,122
8.712,1,30,1,1.738,0,110
4.006,2,49,1,1.365,0,210
1.81,2,44,1,1.312,0,210
8.791,1,7,2,2.794,1,121
2.454,2,71,1,2.061,1,211
0.794,2,96,1,1.283,0,210
6.044,0,85,1,4.439,1,011
0.507,2,22,0,2.629,1,201
1.718,2,55,1,2.89,1,211
3.667,2,18,0,2.249,1,201
0.583,2,21,0,0.547,2,202
