ph,ph_s,wt,wt_s,ec,ec_s
8.456,1,0,2,2.214,1
13.465,1,28,1,0.804,2
1.79,2,68,1,1.735,0
2.671,2,91,1,3.125,1
13.812,1,90,1,2.453,1
7.579,1,47,1,1.468,0
0.08,2,69,1,1.087,2
9.686,1,48,1,2.352,1
1.175,2,80,1,1.614,0
3.954,2,8,2,4.414,1
1.042,2,2,2,2.61,1
13.387,1,36,1,3.408,1
9.776,1,33,1,3.148,1
9.017,1,18,0,3.7,1
0.061,2,44,1,4.529,1
5.067,2,47,1,4.613,1
9.793,1,87,1,4.197,1
9.289,1,8,2,4.239,1
11.077,1,8,2,3.047,1
8.06,1,75,1,1.15,2
6.874,0,68,1,2.486,1
10.935,1,96,1,4.743,1
9.828,1,54,1,4.574,1
6.383,0,44,1,1.116,2
12.817,1,60,1,0.907,2
8.504,1,26,0,4.68,1
1.08,2,30,1,2.74,1
1.287,2,69,1,1.407,0
10.96,1,7,2,3.575,1
4.797,2,19,0,4.549,1
9.247,1,85,1,3.983,1
10.159,1,30,1,4.806,1
7.253,1,27,1,1.899,1
2.765,2,17,2,4.417,1
4.673,2,43,1,2.192,1
10.33,1,20,0,0.397,2
6,0,43,1,1.982,1
1.327,2,7,2,3.881,1
3.146,2,96,1,3.936,1
5.496,2,7,2,0.996,2
7.006,1,27,1,0.882,2
4.799,2,48,1,2.763,1
5.862,2,80,1,1.248,0
11.314,1,31,1,4.161,1
7.686,1,31,1,1.779,0
8.302,1,41,1,3.849,1
3.231,2,65,1,3.98,1
2.321,2,94,1,1.896,1
2.454,2,26,0,1.363,0
9.297,1,30,1,0.9,2
2.308,2,15,2,0.753,2
0.695,2,48,1,4.934,1
3.549,2,76,1,1.659,0
7.496,1,36,1,0.24,2
11.211,1,61,1,3.186,1
4.666,2,37,1,4.932,1
5.193,2,27,1,2.33,1
4.988,2,6,2,0.822,2
6.424,0,64,1,1.685,0
0.273,2,23,0,0.888,2
11.811,1,61,1,3.05,1
12.019,1,67,1,1.859,1
8.31,1,36,1,4.951,1
9.113,1,81,1,3.359,1
10.673,1,29,1,2.521,1
3.271,2,29,1,1.954,1
6.189,0,34,1,4.625,1
0.735,2,29,1,2.794,1
7.145,1,86,1,4.285,1
7.853,1,27,1,4.198,1
0.348,2,54,1,1.299,0
13.109,1,57,1,1.331,0
0.976,2,32,1,3.639,1
6.954,0,73,1,2.179,1
8.326,1,0,2,0.307,2
8.507,1,39,1,0.473,2
10.953,1,0,2,1.359,0
8.502,1,30,1,4.161,1
9.031,1,89,1,2.466,1
6.142,0,13,2,4.559,1
11.371,1,56,1,2.337,1
11.063,1,39,1,2.91,1
2.541,2,76,1,0.461,2
9.34,1,10,2,3.723,1
8.735,1,97,1,2.946,1
7.416,1,0,2,3.153,1
5.527,2,17,2,3.891,1
9.794,1,2,2,4.531,1
2.839,2,55,1,1.423,0
0.763,2,43,1,3.12,1
9.176,1,95,1,3.8,1
8.162,1,49,1,0.778,2
4.626,2,78,1,0.359,2
2.516,2,55,1,0.182,2
0.507,2,8,2,4.444,1
1.308,2,99,1,2.903,1
0.913,2,73,1,3.172,1
11.321,1,2,2,0.832,2
11.441,1,53,1,4.437,1
4.962,2,15,2,1.846,1
9.783,1,91,1,3.133,1
12.603,1,58,1,0.147,2
2.261,2,40,1,3.43,1
4.392,2,72,1,1.51,0
0.738,2,24,0,4.634,1
7.585,1,78,1,0.566,2
0.693,2,27,1,3.467,1
9.073,1,40,1,1.964,1
1.394,2,12,2,2.041,1
9.567,1,78,1,3.152,1
13.72,1,39,1,3.315,1
12.14,1,69,1,4.337,1
10.501,1,69,1,3.762,1
0.279,2,62,1,3.962,1
6.245,0,70,1,4.836,1
9.454,1,85,1,1.528,0
0.625,2,6,2,4.753,1
13.848,1,48,1,3.602,1
1.413,2,43,1,0.399,2
12.648,1,57,1,4.707,1
6.365,0,0,2,4.516,1
0.541,2,96,1,0.307,2
13.77,1,87,1,4.173,1
0.799,2,45,1,0.443,2
7.832,1,53,1,0.805,2
5.521,2,3,2,4.557,1
5.761,2,39,1,1.805,1
6.561,0,55,1,0.785,2
5.507,2,35,1,2.126,1
7.174,1,92,1,2.724,1
5.32,2,65,1,1.646,0
5.984,2,91,1,3.582,1
6.171,0,25,0,0.329,2
4.666,2,75,1,4.921,1
13.6,1,13,2,0.588,2
7.412,1,36,1,2.234,1
2.367,2,56,1,2.957,1
7.004,1,95,1,3.814,1
5.097,2,57,1,2.616,1
11.224,1,90,1,4.47,1
13.408,1,75,1,3.326,1
12.959,1,99,1,2.352,1
11.175,1,90,1,0.752,2
13.933,1,74,1,0.283,2
4.006,2,49,1,1.365,0
0.712,2,86,1,0.819,2
6.444,0,17,2,2.718,1
11.56,1,83,1,3.566,1
8.683,1,94,1,4.344,1
10.865,1,59,1,2.273,1
1.481,2,55,1,2.083,1
8.73,1,70,1,0.642,2
4.998,2,12,2,1.937,1
7.974,1,31,1,0.058,2
1.272,2,91,1,3.23,1
1.702,2,89,1,2.178,1
3.91,2,33,1,4.927,1
8.538,1,76,1,0.7,2
6.833,0,79,1,4.609,1
10.084,1,76,1,0.409,2
10.668,1,33,1,1.845,1
0.859,2,56,1,0.217,2
0.655,2,20,0,0.252,2
0.058,2,91,1,4.691,1
12.104,1,37,1,2.747,1
11.244,1,35,1,3.199,1
8.927,1,96,1,2.209,1
10.677,1,74,1,1.103,2
11.719,1,67,1,0.592,2
7.536,1,73,1,4.944,1
7.636,1,55,1,3.648,1
10.503,1,78,1,1.181,2
9.205,1,84,1,4.631,1
11.652,1,84,1,1.338,0
12.508,1,25,0,4.253,1
8.057,1,46,1,4.138,1
0.639,2,92,1,1.122,2
4.078,2,91,1,3.557,1
1.892,2,44,1,4.553,1
9.007,1,33,1,4.843,1
7.692,1,72,1,1.174,2
3.968,2,77,1,2.422,1
5.008,2,88,1,1.825,1
12.619,1,11,2,0.071,2
3.651,2,41,1,4.918,1
2.346,2,99,1,3.721,1
0.574,2,89,1,2.484,1
10.772,1,70,1,2.471,1
2.563,2,89,1,4.341,1
8.791,1,7,2,2.794,1
0.132,2,1,2,2.112,1
8.349,1,2,2,1.254,0
4.184,2,73,1,1.454,0
8.989,1,94,1,3.745,1
0.633,2,17,2,2.698,1
2.443,2,46,1,3.707,1
5.24,2,61,1,1.601,0
8.978,1,73,1,3.908,1
13.485,1,3,2,3.778,1
11.9,1,4,2,1.809,1
3.924,2,40,1,0.697,2
6.391,0,37,1,4.946,1
1.581,2,32,1,2.195,1
3.258,2,34,1,0.704,2
1.76,2,35,1,0.623,2
5.488,2,27,1,1.693,0
4.083,2,71,1,3.992,1
8.779,1,95,1,2.189,1
8.173,1,46,1,4.137,1
12.631,1,87,1,0.707,2
7.729,1,10,2,4.907,1
12.556,1,42,1,2.343,1
13.65,1,21,0,0.91,2
7.122,1,36,1,2.241,1
0.758,2,65,1,1.534,0
2.588,2,5,2,0.475,2
4.99,2,64,1,3.826,1
12.352,1,32,1,1.499,0
9.41,1,30,1,4.554,1
2.157,2,98,1,3.618,1
10.877,1,80,1,1.582,0
7.291,1,53,1,2.636,1
10.771,1,9,2,3.14,1
10.143,1,11,2,4.419,1
1.554,2,3,2,1.07,2
5.986,2,23,0,1.914,1
12.559,1,2,2,2.67,1
5.704,2,4,2,2.021,1
3.375,2,69,1,1.84,1
8.957,1,49,1,4.609,1
12.44,1,75,1,3.507,1
4.925,2,14,2,1.236,0
5.301,2,47,1,4.961,1
11.608,1,52,1,4.028,1
12.204,1,64,1,0.026,2
9.391,1,63,1,4.274,1
3.511,2,43,1,2.773,1
12.14,1,88,1,2.707,1
1.987,2,78,1,1.699,0
5.209,2,90,1,0.576,2
9.526,1,57,1,0.393,2
8.31,1,56,1,1.342,0
0.062,2,45,1,4.533,1
4.51,2,95,1,0.328,2
12.216,1,15,2,2.09,1
5.65,2,38,1,2.242,1
1.81,2,44,1,1.312,0
6.343,0,72,1,3.439,1
6.285,0,3,2,1.736,0
13.292,1,54,1,1.705,0
8.263,1,83,1,0.912,2
0.663,2,21,0,0.986,2
1.364,2,47,1,3.608,1
3.709,2,2,2,1.263,0
9.211,1,63,1,3.474,1
10.688,1,64,1,0.867,2
3.341,2,70,1,3.835,1
0.867,2,48,1,3.855,1
13.944,1,81,1,0.767,2
9.641,1,38,1,3.53,1
11.976,1,7,2,2.02,1
2.414,2,31,1,0.889,2
5.327,2,26,0,1.478,0
2.587,2,95,1,1.809,1
13.552,1,21,0,1.955,1
13.6,1,31,1,0.587,2
9.567,1,79,1,2.372,1
6.304,0,54,1,1.11,2
8.423,1,95,1,1.517,0
1.195,2,73,1,4.153,1
9.663,1,7,2,0.837,2
3.21,2,71,1,1.517,0
2.815,2,86,1,0.782,2
4.74,2,81,1,2.011,1
6.678,0,73,1,3.944,1
0.074,2,77,1,1.296,0
10.037,1,34,1,4.938,1
4.275,2,25,0,3.52,1
11.201,1,100,1,3.926,1
3.718,2,87,1,4.34,1
8.512,1,63,1,4.079,1
10.927,1,46,1,4.097,1
1.586,2,53,1,4.71,1
11.222,1,86,1,3.633,1
7.6,1,14,2,4.98,1
8.406,1,16,2,4.23,1
13.046,1,64,1,0.527,2
5.363,2,54,1,0.835,2
9.058,1,44,1,1.693,0
11.692,1,89,1,0.033,2
4.47,2,53,1,0.018,2
0.35,2,84,1,2.805,1
11.207,1,22,0,3.386,1
0.513,2,92,1,2.904,1
4.706,2,53,1,3.635,1
0.951,2,46,1,2.989,1
1.794,2,100,1,4,1
1.764,2,96,1,0.202,2
13.976,1,86,1,3.082,1
11.581,1,32,1,4.757,1
6.175,0,91,1,0.091,2
4.217,2,36,1,2.679,1
11.903,1,92,1,3.338,1
1.672,2,46,1,1.141,2
6.814,0,91,1,0.869,2
4.223,2,4,2,4.23,1
9.004,1,42,1,4.9,1
5.708,2,56,1,1.902,1
9.952,1,56,1,2.729,1
9.566,1,72,1,0.22,2
6.248,0,10,2,2.153,1
12.697,1,27,1,4.582,1
0.576,2,28,1,0.171,2
10.403,1,52,1,1.944,1
7.149,1,9,2,1.907,1
6.292,0,56,1,1.731,0
0.918,2,39,1,0.064,2
1.564,2,13,2,2.166,1
6.593,0,92,1,2.105,1
12.83,1,29,1,2.707,1
2.787,2,54,1,2.037,1
3.607,2,90,1,2.765,1
3.04,2,65,1,0.859,2
3.768,2,89,1,0.07,2
1.197,2,80,1,4.072,1
4.49,2,6,2,4.779,1
4.55,2,43,1,3.051,1
3.244,2,74,1,2.904,1
10.354,1,38,1,0.074,2
1.499,2,38,1,1.352,0
4.304,2,95,1,3.338,1
2.42,2,88,1,0.657,2
13.918,1,93,1,4.862,1
6.895,0,42,1,3.937,1
2.894,2,12,2,2.536,1
3.053,2,18,0,0.038,2
11.171,1,74,1,0.136,2
9.73,1,5,2,2.637,1
7.542,1,99,1,4.464,1
8.51,1,84,1,0.243,2
11.732,1,81,1,3.773,1
13.129,1,78,1,4.484,1
8.726,1,18,0,0.616,2
11.187,1,35,1,2.934,1
8.457,1,56,1,2.531,1
1.236,2,54,1,2.811,1
11.641,1,17,2,3.867,1
1.638,2,44,1,0.904,2
7.149,1,5,2,1.354,0
5.176,2,53,1,1.017,2
10.131,1,80,1,0.393,2
12.321,1,89,1,1.913,1
2.961,2,32,1,3.607,1
10.232,1,67,1,0.184,2
10.71,1,94,1,3.236,1
4.418,2,36,1,0.181,2
4.428,2,82,1,4.305,1
3.941,2,1,2,1.613,0
6.961,0,8,2,3.254,1
7.035,1,12,2,0.501,2
11.178,1,40,1,3.285,1
5.641,2,48,1,2.88,1
13.963,1,77,1,1.139,2
5.908,2,68,1,3.864,1
11.4,1,32,1,2.919,1
7.522,1,98,1,2.143,1
7.113,1,34,1,3.88,1
3.444,2,56,1,4.915,1
2.282,2,69,1,2.151,1
3.987,2,66,1,4.412,1
13.365,1,19,0,0.729,2
11.986,1,80,1,0.205,2
10.659,1,14,2,1.799,0
11.172,1,98,1,1.385,0
7.961,1,21,0,1.079,2
4.464,2,71,1,3.968,1
6.138,0,41,1,3.868,1
3.634,2,45,1,4.766,1
2.828,2,59,1,1.168,2
11.857,1,91,1,0.813,2
2.842,2,29,1,2.88,1
4.642,2,71,1,0.675,2
9.258,1,23,0,0.468,2
3.601,2,76,1,1.36,0
2.734,2,61,1,1.612,0
4.455,2,71,1,4.572,1
4.043,2,11,2,4.294,1
0.571,2,30,1,3.599,1
10.9,1,72,1,1.473,0
9.922,1,55,1,2.176,1
1.974,2,89,1,4.196,1
10.259,1,76,1,3.378,1
10.646,1,75,1,4.154,1
1.923,2,2,2,3.606,1
13.884,1,92,1,4.387,1
1.613,2,28,1,4.163,1
0.388,2,27,1,4.114,1
11.834,1,52,1,4.244,1
8.421,1,41,1,2.965,1
1.289,2,92,1,4.906,1
1.458,2,30,1,1.675,0
8.133,1,89,1,2.432,1
0.674,2,52,1,1.367,0
11.597,1,35,1,0.682,2
0.92,2,76,1,0.58,2
1.348,2,10,2,3.505,1
0.032,2,84,1,0.368,2
3.603,2,6,2,4.241,1
7.193,1,38,1,1.479,0
11.66,1,24,0,3.902,1
9.999,1,35,1,2.167,1
7.333,1,17,2,3.342,1
13.709,1,81,1,1.882,1
10.632,1,71,1,1.27,0
4.478,2,91,1,1.47,0
0.395,2,23,0,4.404,1
10.316,1,40,1,2.922,1
3.116,2,50,1,0.306,2
3.363,2,84,1,3.172,1
0.259,2,96,1,0.24,2
7.823,1,79,1,3.665,1
0.752,2,4,2,1.748,0
10.029,1,44,1,0.394,2
2.727,2,45,1,4.528,1
11.59,1,63,1,2.954,1
1.075,2,78,1,3.387,1
2.167,2,36,1,2.473,1
8.757,1,53,1,3.347,1
11.218,1,85,1,0.92,2
8.496,1,82,1,2.322,1
0.636,2,23,0,2.35,1
9.965,1,77,1,3.786,1
4.32,2,100,1,4.857,1
6.044,0,85,1,4.439,1
2.768,2,71,1,2.44,1
11.716,1,50,1,4.761,1
0.388,2,64,1,3.41,1
0.766,2,68,1,3.034,1
2.685,2,63,1,1.636,0
1.745,2,47,1,3.165,1
1.206,2,21,0,2.46,1
13.215,1,85,1,1.992,1
5.105,2,2,2,0.466,2
10.917,1,75,1,3.695,1
1.388,2,11,2,3.245,1
4.202,2,67,1,1.136,2
12.103,1,41,1,3.927,1
1.091,2,76,1,2.22,1
13.623,1,58,1,1.69,0
10.824,1,59,1,0.561,2
10.034,1,7,2,0.4,2
11.652,1,1,2,3.373,1
5.206,2,14,2,4.795,1
7.525,1,96,1,4.539,1
5.895,2,26,0,4.139,1
6.339,0,73,1,2.112,1
1.856,2,35,1,3.897,1
4.89,2,22,0,0.558,2
13.497,1,63,1,2.326,1
7.23,1,91,1,2.044,1
13.774,1,62,1,0.643,2
0.445,2,21,0,3.601,1
11.787,1,84,1,3.624,1
8.741,1,45,1,4.848,1
9.2,1,1,2,0.805,2
5.318,2,95,1,0.63,2
11.083,1,13,2,1.7,0
6.447,0,1,2,2.591,1
13.285,1,14,2,4.994,1
1.869,2,1,2,1.712,0
10.988,1,14,2,4.305,1
2.216,2,86,1,2.901,1
8.552,1,62,1,1.552,0
4.853,2,47,1,3.544,1
7.898,1,6,2,3.116,1
1.251,2,80,1,1.213,0
6.983,0,45,1,4.775,1
6.382,0,96,1,2.224,1
2.876,2,91,1,2.752,1
8.093,1,32,1,1.477,0
6.761,0,47,1,3.819,1
3.486,2,35,1,3.145,1
13.873,1,90,1,1.796,0
5.121,2,58,1,0.006,2
4.188,2,77,1,1.584,0
6.368,0,39,1,0.2,2
5.338,2,100,1,3.746,1
1.777,2,29,1,0.566,2
11.069,1,73,1,3.774,1
3.509,2,59,1,4.099,1
2.299,2,100,1,0.975,2
0.886,2,57,1,0.721,2
10.041,1,0,2,4.665,1
13.934,1,65,1,1.186,2
5.185,2,51,1,4.592,1
9.67,1,25,0,0.675,2
2.858,2,21,0,3.664,1
0.447,2,27,1,3.608,1
8.383,1,16,2,4.413,1
11.521,1,19,0,3.293,1
11.489,1,11,2,3.025,1
3.688,2,1,2,2.763,1
10.661,1,7,2,2.798,1
12.537,1,31,1,4.324,1
7.544,1,78,1,4.067,1
6.029,0,95,1,1.353,0
3.142,2,55,1,0.468,2
2.09,2,0,2,4.304,1
7.252,1,1,2,4.809,1
12.331,1,9,2,2.603,1
13.954,1,79,1,0.286,2
8.874,1,9,2,2.884,1
3.506,2,14,2,1.255,0
9.038,1,48,1,3.235,1
0.314,2,5,2,4.34,1
9.312,1,96,1,4.89,1
0.123,2,8,2,3.196,1
11.206,1,90,1,2.28,1
8.765,1,1,2,3.244,1
12.653,1,100,1,4.917,1
0.812,2,21,0,2.418,1
4.762,2,30,1,0.322,2
5.693,2,63,1,4.544,1
10.901,1,67,1,3.01,1
9.875,1,36,1,1.462,0
5.603,2,93,1,2.313,1
12.907,1,26,0,2.109,1
5.589,2,11,2,1.591,0
8.911,1,7,2,3.023,1
13.541,1,32,1,0.793,2
2.499,2,9,2,2.246,1
7.566,1,25,0,4.383,1
9.278,1,100,1,4.498,1
8.712,1,30,1,1.738,0
8.054,1,55,1,3.244,1
10.471,1,28,1,0.745,2
8.768,1,72,1,3.732,1
13.046,1,14,2,3.494,1
6.213,0,65,1,0.216,2
9.329,1,8,2,0.736,2
2.454,2,71,1,2.061,1
