ph,ph_s,wt,wt_s,ec,ec_s,status,id
0.447,2,27,1,3.608,1,211,81
3.271,2,29,1,1.954,1,211,82
7.122,1,36,1,2.241,1,111,83
2.703,2,31,1,1.417,0,210,84
4.304,2,95,1,3.338,1,211,85
8.957,1,49,1,4.609,1,111,86
11.962,1,1,2,0.821,2,122,87
0.08,2,69,1,1.087,2,212,88
5.496,2,7,2,0.996,2,222,89
12.508,1,25,0,4.253,1,101,90
12.653,1,100,1,4.917,1,111,91
12.178,1,100,1,0.366,2,112,92
6.365,0,0,2,4.516,1,21,93
13.866,1,6,2,3.221,1,121,94
11.811,1,61,1,3.05,1,111,95
12.559,1,2,2,2.67,1,121,96
9.329,1,8,2,0.736,2,122,97
3.757,2,90,1,1.76,0,210,98
5.24,2,61,1,1.601,0,210,99
3.143,2,25,0,3.3,1,201,100
0.918,2,39,1,0.064,2,212,101
8.406,1,16,2,4.23,1,121,102
4.455,2,71,1,4.572,1,211,103
4.428,2,82,1,4.305,1,211,104
3.146,2,96,1,3.936,1,211,105
7.636,1,55,1,3.648,1,111,106
2.167,2,36,1,2.473,1,211,107
1.856,2,35,1,3.897,1,211,108
12.342,1,12,2,0.122,2,122,109
2.436,2,31,1,4.064,1,211,110
3.375,2,69,1,1.84,1,211,111
0.074,2,6,2,4.839,1,221,112
7.729,1,10,2,4.907,1,121,113
10.33,1,20,0,0.397,2,102,114
1.398,2,36,1,4.895,1,211,115
1.987,2,78,1,1.699,0,210,116
10.037,1,34,1,4.938,1,111,117
10.351,1,67,1,3.66,1,111,118
12.907,1,26,0,2.109,1,101,119
6.426,0,4,2,0.609,2,22,120
9.793,1,87,1,4.197,1,111,121
0.799,2,45,1,0.443,2,212,122
6.285,0,3,2,1.736,0,20,123
8.152,1,2,2,2.624,1,121,124
1.251,2,80,1,1.213,0,210,125
9.849,1,13,2,1.133,2,122,126
3.509,2,59,1,4.099,1,211,127
5.507,2,35,1,2.126,1,211,128
5.704,2,4,2,2.021,1,221,129
1.197,2,80,1,4.072,1,211,130
7.113,1,34,1,3.88,1,111,131
6.526,0,65,1,1.781,0,10,132
2.367,2,56,1,2.957,1,211,133
11.834,1,52,1,4.244,1,111,134
7.416,1,0,2,3.153,1,121,135
5.121,2,58,1,0.006,2,212,136
10.917,1,75,1,3.695,1,111,137
8.978,1,73,1,3.908,1,111,138
6.806,0,15,2,0.422,2,22,139
8.801,1,86,1,1.707,0,110,140
0.636,2,4,2,0.178,2,222,141
0.758,2,65,1,1.534,0,210,142
10.632,1,71,1,1.27,0,110,143
13.15,1,12,2,4.542,1,121,144
0.712,2,86,1,0.819,2,212,145
10.594,1,71,1,3.105,1,111,146
13.408,1,75,1,3.326,1,111,147
6.458,0,18,2,0.348,2,22,148
11.178,1,40,1,3.285,1,111,149
11.4,1,32,1,2.919,1,111,150
7.6,1,14,2,4.98,1,121,151
3.341,2,70,1,3.835,1,211,152
6.926,0,18,2,0.302,2,22,153
7.974,1,31,1,0.058,2,112,154
2.839,2,55,1,1.423,0,210,155
9.526,1,57,1,0.393,2,112,156
8.302,1,41,1,3.849,1,111,157
12.111,1,67,1,0.64,2,112,158
6.146,0,24,0,1.728,0,0,159
8.781,1,15,2,0.934,2,122,160
1.672,2,46,1,1.141,2,212,161
9.516,1,2,2,3.917,1,121,162
3.138,2,28,1,2.302,1,211,163
4.642,2,71,1,0.675,2,212,164
13.954,1,79,1,0.286,2,112,165
6.913,0,6,2,2.496,1,21,166
5.584,2,93,1,0.911,2,212,167
6.022,0,19,0,1.484,0,0,168
7.301,1,87,1,0.096,2,112,169
11.652,1,1,2,3.373,1,121,170
0.273,2,23,0,0.888,2,202,171
1.118,2,18,0,1.354,0,200,172
9.828,1,54,1,4.574,1,111,173
12.24,1,64,1,1.792,0,110,174
1.79,2,68,1,1.735,0,210,175
12.956,1,45,1,0.551,2,112,176
9.04,1,11,2,2.034,1,121,177
6.447,0,1,2,2.591,1,21,178
5.249,2,100,1,3.068,1,211,179
9.391,1,63,1,4.274,1,111,180
6.045,0,64,1,0.719,2,12,181
11.976,1,7,2,2.02,1,121,182
12.278,1,60,1,3.201,1,111,183
13.552,1,21,0,1.955,1,101,184
0.581,2,45,1,2.808,1,211,185
9.003,1,14,2,0.722,2,122,186
8.726,1,18,0,0.616,2,102,187
9.596,1,55,1,4.994,1,111,188
0.314,2,5,2,4.34,1,221,189
12.537,1,31,1,4.324,1,111,190
13.774,1,62,1,0.643,2,112,191
7.035,1,12,2,0.501,2,122,192
1.036,2,24,0,1.171,2,202,193
11.253,1,31,1,3.57,1,111,194
3.506,2,14,2,1.255,0,220,195
2.405,2,96,1,3.098,1,211,196
6.542,0,57,1,3.922,1,11,197
13.6,1,13,2,0.588,2,122,198
11.25,1,61,1,3.222,1,111,199
0.266,2,43,1,1.439,0,210,200
1.788,2,4,2,3.615,1,221,201
11.597,1,35,1,0.682,2,112,202
7.898,1,6,2,3.116,1,121,203
4.123,2,62,1,3.212,1,211,204
13.132,1,76,1,4.046,1,111,205
11.442,1,2,2,2.534,1,121,206
0.867,2,48,1,3.855,1,211,207
10.668,1,33,1,1.845,1,111,208
7.484,1,11,2,4.57,1,121,209
5.318,2,95,1,0.63,2,212,210
6.284,0,37,1,3.284,1,11,211
11.211,1,61,1,3.186,1,111,212
11.496,1,16,2,0.432,2,122,213
5.589,2,11,2,1.591,0,220,214
7.207,1,22,0,2.25,1,101,215
5.242,2,80,1,0.028,2,212,216
1.231,2,81,1,3.796,1,211,217
13.918,1,93,1,4.862,1,111,218
11.346,1,58,1,0.339,2,112,219
3.59,2,70,1,3.098,1,211,220
9.489,1,96,1,3.817,1,111,221
2.313,2,77,1,0.432,2,212,222
1.613,2,28,1,4.163,1,211,223
2.023,2,55,1,1.672,0,210,224
0.388,2,64,1,3.41,1,211,225
10.131,1,80,1,0.393,2,112,226
9.287,1,86,1,4.83,1,111,227
11.207,1,22,0,3.386,1,101,228
0.25,2,8,2,3.878,1,221,229
11.453,1,61,1,3.328,1,111,230
13.812,1,90,1,2.453,1,111,231
8.374,1,94,1,1.693,0,110,232
6.328,0,23,0,1.471,0,0,233
2.356,2,51,1,4.864,1,211,234
2.129,2,73,1,2.628,1,211,235
12.104,1,37,1,2.747,1,111,236
7.522,1,98,1,2.143,1,111,237
1.331,2,20,0,2.127,1,201,238
10.041,1,0,2,4.665,1,121,239
0.738,2,24,0,4.634,1,201,240
9.205,1,84,1,4.631,1,111,241
8.874,1,9,2,2.884,1,121,242
13.873,1,90,1,1.796,0,110,243
4.448,2,54,1,4.163,1,211,244
6.216,0,15,2,4.735,1,21,245
10.159,1,30,1,4.806,1,111,246
1.923,2,2,2,3.606,1,221,247
5.067,2,47,1,4.613,1,211,248
5.039,2,71,1,4.437,1,211,249
5.641,2,98,1,0.841,2,212,250
5.206,2,14,2,4.795,1,221,251
11.371,1,56,1,2.337,1,111,252
11.608,1,52,1,4.028,1,111,253
8.836,1,16,2,3.651,1,121,254
5.363,2,54,1,0.835,2,212,255
0.859,2,56,1,0.217,2,212,256
12.817,1,60,1,0.907,2,112,257
9.004,1,42,1,4.9,1,111,258
2.961,2,32,1,3.607,1,211,259
6.33,0,0,2,1.074,2,22,260
7.849,1,93,1,1.317,0,110,261
12.216,1,15,2,2.09,1,121,262
4.988,2,6,2,0.822,2,222,263
6.761,0,47,1,3.819,1,11,264
11.201,1,100,1,3.926,1,111,265
6.445,0,50,1,2.386,1,11,266
12.907,1,74,1,4.346,1,111,267
1.719,2,38,1,0.927,2,212,268
9.299,1,37,1,1.53,0,110,269
13.781,1,6,2,3.867,1,121,270
9.34,1,10,2,3.723,1,121,271
6,0,43,1,1.982,1,11,272
4.184,2,73,1,1.454,0,210,273
2.476,2,78,1,0.612,2,212,274
6.608,0,11,2,0.491,2,22,275
4.962,2,15,2,1.846,1,221,276
6.343,0,72,1,3.439,1,11,277
5.327,2,26,0,1.478,0,200,278
1.498,2,46,1,1.243,0,210,279
13.215,1,85,1,1.992,1,111,280
10.374,1,83,1,1.319,0,110,281
12.42,1,65,1,4.067,1,111,282
2.545,2,61,1,0.558,2,212,283
12.631,1,87,1,0.707,2,112,284
11.557,1,42,1,0.686,2,112,285
1.308,2,99,1,2.903,1,211,286
8.791,1,53,1,3.575,1,111,287
4.998,2,12,2,1.937,1,221,288
3.352,2,19,0,3.375,1,201,289
5.915,2,30,1,4.447,1,211,290
2.787,2,54,1,2.037,1,211,291
11.706,1,83,1,3.766,1,111,292
9.49,1,25,0,0.25,2,102,293
5.908,2,68,1,3.864,1,211,294
12.103,1,41,1,3.927,1,111,295
10.868,1,12,2,2.273,1,121,296
6.283,0,7,2,3.451,1,21,297
9.67,1,25,0,0.675,2,102,298
6.628,0,14,2,1.004,2,22,299
4.188,2,77,1,1.584,0,210,300
6.903,0,4,2,0.889,2,22,301
0.933,2,0,2,3.882,1,221,302
10.922,1,20,0,0.37,2,102,303
8.934,1,43,1,0.127,2,112,304
2.477,2,62,1,2.889,1,211,305
2.508,2,60,1,3.144,1,211,306
5.516,2,34,1,0.633,2,212,307
6.077,0,23,0,1.725,0,0,308
10.275,1,23,0,0.686,2,102,309
10.973,1,53,1,3.753,1,111,310
5.209,2,90,1,0.576,2,212,311
12.619,1,11,2,0.071,2,122,312
0.488,2,91,1,4.991,1,211,313
4.87,2,42,1,3.636,1,211,314
4.171,2,4,2,4.193,1,221,315
8.383,1,16,2,4.413,1,121,316
4.989,2,76,1,1.564,0,210,317
5.941,2,55,1,1.835,1,211,318
6.096,0,9,2,0.34,2,22,319
5.369,2,60,1,4.178,1,211,320
8.992,1,49,1,0.191,2,112,321
1.869,2,1,2,1.712,0,220,322
9.597,1,43,1,2.438,1,111,323
0.625,2,6,2,4.753,1,221,324
7.149,1,5,2,1.354,0,120,325
10.959,1,78,1,3.533,1,111,326
9.038,1,48,1,3.235,1,111,327
1.95,2,32,1,0.942,2,212,328
11.88,1,52,1,0.729,2,112,329
9.663,1,7,2,0.837,2,122,330
5.301,2,47,1,4.961,1,211,331
0.275,2,67,1,1.742,0,210,332
9.983,1,79,1,4.297,1,111,333
9.783,1,91,1,3.133,1,111,334
8.162,1,49,1,0.778,2,112,335
6.388,0,19,0,1.731,0,0,336
10.18,1,36,1,0.126,2,112,337
9.278,1,100,1,4.498,1,111,338
5.302,2,73,1,0.108,2,212,339
1.246,2,48,1,3.497,1,211,340
1.237,2,0,2,2.367,1,221,341
13.109,1,57,1,1.331,0,110,342
8.313,1,40,1,1.404,0,110,343
3.549,2,76,1,1.659,0,210,344
2.671,2,91,1,3.125,1,211,345
1.236,2,54,1,2.811,1,211,346
2.815,2,86,1,0.782,2,212,347
4.976,2,64,1,3.374,1,211,348
5.708,2,56,1,1.902,1,211,349
12.084,1,100,1,4.808,1,111,350
13.409,1,74,1,4.454,1,111,351
2.954,2,9,2,2.962,1,221,352
10.129,1,67,1,1.958,1,111,353
7.015,1,43,1,0.15,2,112,354
0.874,2,5,2,2.349,1,221,355
1.185,2,94,1,0.211,2,212,356
4.282,2,63,1,0.148,2,212,357
6.389,0,93,1,4.208,1,11,358
4.673,2,43,1,2.192,1,211,359
2.685,2,63,1,1.636,0,210,360
1.174,2,22,0,0.138,2,202,361
6.343,0,42,1,3.329,1,11,362
13.387,1,36,1,3.408,1,111,363
12.567,1,21,0,2.26,1,101,364
6.54,0,11,2,0.571,2,22,365
1.243,2,49,1,1.27,0,210,366
9.031,1,89,1,2.466,1,111,367
4.51,2,95,1,0.328,2,212,368
11.401,1,1,2,2.004,1,121,369
5.193,2,27,1,2.33,1,211,370
2.36,2,39,1,3.668,1,211,371
7.067,1,66,1,0.19,2,112,372
11.29,1,94,1,0.219,2,112,373
12.557,1,13,2,1.385,0,120,374
8.897,1,19,0,2.886,1,101,375
4.137,2,2,2,3.669,1,221,376
0.763,2,43,1,3.12,1,211,377
5.41,2,59,1,1.527,0,210,378
2.785,2,61,1,3.673,1,211,379
10.034,1,7,2,0.4,2,122,380
7.692,1,72,1,1.174,2,112,381
4.626,2,78,1,0.359,2,212,382
7.469,1,4,2,2.61,1,121,383
9.922,1,55,1,2.176,1,111,384
13.129,1,78,1,4.484,1,111,385
5.986,2,23,0,1.914,1,201,386
1.745,2,47,1,3.165,1,211,387
6.079,0,26,0,1.756,0,0,388
10.067,1,60,1,3.699,1,111,389
2.68,2,57,1,1.731,0,210,390
10.029,1,44,1,0.394,2,112,391
2.282,2,69,1,2.151,1,211,392
10.503,1,78,1,1.181,2,112,393
10.39,1,79,1,1.603,0,110,394
10.524,1,93,1,4.71,1,111,395
0.604,2,68,1,2.036,1,211,396
2.734,2,61,1,1.612,0,210,397
7.536,1,73,1,4.944,1,111,398
13.497,1,63,1,2.326,1,111,399
4.509,2,85,1,1.116,2,212,400
13.769,1,29,1,0.707,2,112,401
8.552,1,62,1,1.552,0,110,402
3.21,2,71,1,1.517,0,210,403
8.757,1,53,1,3.347,1,111,404
6.236,0,23,0,2.157,1,1,405
2.09,2,0,2,4.304,1,221,406
0.161,2,34,1,0.375,2,212,407
6.543,0,20,0,1.225,0,0,408
7.832,1,53,1,0.805,2,112,409
9.952,1,56,1,2.729,1,111,410
9.657,1,76,1,2.519,1,111,411
12.253,1,90,1,0.584,2,112,412
0.132,2,1,2,2.112,1,221,413
8.586,1,38,1,1.265,0,110,414
9.48,1,30,1,1.568,0,110,415
4.191,2,6,2,0.835,2,222,416
12.804,1,56,1,0.071,2,112,417
0.093,2,51,1,2.074,1,211,418
1.175,2,80,1,1.614,0,210,419
9.176,1,95,1,3.8,1,111,420
8.31,1,36,1,4.951,1,111,421
6.179,0,2,2,0.952,2,22,422
10.166,1,41,1,3.032,1,111,423
5.488,2,27,1,1.693,0,210,424
5.338,2,100,1,3.746,1,211,425
0.206,2,12,2,1.509,0,220,426
11.348,1,34,1,2.347,1,111,427
9.776,1,33,1,3.148,1,111,428
2.499,2,9,2,2.246,1,221,429
9.297,1,30,1,0.9,2,112,430
4.152,2,70,1,1.391,0,210,431
4.275,2,25,0,3.52,1,201,432
6.822,0,18,0,1.526,0,0,433
6.175,0,91,1,0.091,2,12,434
6.196,0,19,0,1.25,0,0,435
13.623,1,58,1,1.69,0,110,436
7.761,1,9,2,4.899,1,121,437
10.659,1,14,2,1.799,0,120,438
9.97,1,61,1,3.002,1,111,439
3.363,2,84,1,3.172,1,211,440
8.156,1,10,2,4.042,1,121,441
6.171,0,25,0,0.329,2,2,442
4.464,2,71,1,3.968,1,211,443
11.224,1,90,1,4.47,1,111,444
10.072,1,20,0,4.361,1,101,445
11.521,1,19,0,3.293,1,101,446
13.709,1,81,1,1.882,1,111,447
6.324,0,19,0,1.262,0,0,448
0.441,2,57,1,2.878,1,211,449
11.083,1,13,2,1.7,0,120,450
6.189,0,34,1,4.625,1,11,451
8.173,1,46,1,4.137,1,111,452
7.145,1,86,1,4.285,1,111,453
3.603,2,6,2,4.241,1,221,454
0.639,2,92,1,1.122,2,212,455
0.032,2,84,1,0.368,2,212,456
8.683,1,94,1,4.344,1,111,457
6.961,0,8,2,3.254,1,21,458
13.504,1,0,2,1.037,2,122,459
6.182,0,73,1,0.459,2,12,460
7.525,1,96,1,4.539,1,111,461
1.388,2,11,2,3.245,1,221,462
5.194,2,72,1,3.401,1,211,463
13.285,1,14,2,4.994,1,121,464
8.768,1,72,1,3.732,1,111,465
10.927,1,46,1,4.097,1,111,466
11.804,1,81,1,4.515,1,111,467
6.642,0,19,0,1.406,0,0,468
1.783,2,34,1,2.582,1,211,469
8.779,1,95,1,2.189,1,111,470
1.6,2,45,1,4.253,1,211,471
11.167,1,25,0,2.309,1,101,472
9.289,1,8,2,4.239,1,121,473
10.216,1,41,1,0.052,2,112,474
4.799,2,48,1,2.763,1,211,475
0.905,2,67,1,2.011,1,211,476
2.321,2,68,1,3.214,1,211,477
0.766,2,68,1,3.034,1,211,478
2.835,2,75,1,1.682,0,210,479
8.911,1,7,2,3.023,1,121,480
4.039,2,15,2,3.95,1,221,481
4.318,2,83,1,1.73,0,210,482
1.846,2,5,2,2.724,1,221,483
3.078,2,61,1,2.106,1,211,484
6.264,0,8,2,0.769,2,22,485
3.14,2,11,2,4.099,1,221,486
13.892,1,31,1,1.786,0,110,487
1.195,2,73,1,4.153,1,211,488
7.686,1,31,1,1.779,0,110,489
11.623,1,97,1,0.674,2,112,490
6.262,0,73,1,0.48,2,12,491
8.483,1,86,1,3.272,1,111,492
12.83,1,29,1,2.707,1,111,493
5.467,2,5,2,3.849,1,221,494
3.231,2,65,1,3.98,1,211,495
9.535,1,13,2,0.712,2,122,496
9.716,1,54,1,4.814,1,111,497
6.243,0,38,1,0.597,2,12,498
12.741,1,58,1,2.392,1,111,499
6.895,0,42,1,3.937,1,11,500
13.717,1,65,1,0.426,2,112,501
12.791,1,43,1,0.193,2,112,502
10.501,1,69,1,3.762,1,111,503
1.859,2,36,1,0.372,2,212,504
2.876,2,91,1,2.752,1,211,505
7.817,1,20,0,4.777,1,101,506
10.259,1,76,1,3.378,1,111,507
9.737,1,23,0,2.63,1,101,508
8.093,1,32,1,1.477,0,110,509
10.729,1,42,1,1.595,0,110,510
13.365,1,19,0,0.729,2,102,511
9.999,1,35,1,2.167,1,111,512
11.652,1,84,1,1.338,0,110,513
0.058,2,91,1,4.691,1,211,514
6.368,0,39,1,0.2,2,12,515
9.965,1,77,1,3.786,1,111,516
4.222,2,74,1,4.667,1,211,517
12.204,1,64,1,0.026,2,112,518
9.567,1,78,1,3.152,1,111,519
1.794,2,100,1,4,1,211,520
9.482,1,42,1,4.786,1,111,521
1.327,2,7,2,3.881,1,221,522
12.326,1,33,1,4.242,1,111,523
3.651,2,41,1,4.918,1,211,524
9.154,1,33,1,3.435,1,111,525
6.224,0,87,1,1.708,0,10,526
5.925,2,89,1,0.52,2,212,527
8.765,1,1,2,3.244,1,121,528
2.943,2,51,1,1.962,1,211,529
9.017,1,18,0,3.7,1,101,530
0.152,2,60,1,3.063,1,211,531
11.59,1,63,1,2.954,1,111,532
2.443,2,46,1,3.707,1,211,533
10.805,1,6,2,1.758,0,120,534
0.388,2,27,1,4.114,1,211,535
10.249,1,56,1,1.516,0,110,536
6.383,0,44,1,1.116,2,12,537
7.23,1,91,1,2.044,1,111,538
8.423,1,95,1,1.517,0,110,539
2.765,2,17,2,4.417,1,221,540
10.639,1,69,1,1.859,1,111,541
0.695,2,48,1,4.934,1,211,542
9.258,1,23,0,0.468,2,102,543
10.71,1,94,1,3.236,1,111,544
10.006,1,96,1,0.106,2,112,545
2.768,2,71,1,2.44,1,211,546
12.642,1,16,2,2.599,1,121,547
13.925,1,85,1,1.753,0,110,548
6.561,0,55,1,0.785,2,12,549
2.157,2,98,1,3.618,1,211,550
13.934,1,65,1,1.186,2,112,551
4.684,2,43,1,3.568,1,211,552
12.696,1,78,1,2.092,1,111,553
6.184,0,88,1,0.541,2,12,554
8.057,1,46,1,4.138,1,111,555
4.223,2,4,2,4.23,1,221,556
0.507,2,8,2,4.444,1,221,557
9.639,1,97,1,0.407,2,112,558
2.299,2,100,1,0.975,2,212,559
0.407,2,92,1,4.625,1,211,560
13.617,1,83,1,4.055,1,111,561
12.648,1,81,1,3.782,1,111,562
4.666,2,37,1,4.932,1,211,563
8.152,1,23,0,1.778,0,100,564
1.344,2,66,1,3.623,1,211,565
6.029,0,95,1,1.353,0,10,566
12.14,1,69,1,4.337,1,111,567
2.563,2,89,1,4.341,1,211,568
6.723,0,22,0,1.382,0,0,569
6.04,0,50,1,1.761,0,10,570
3.58,2,98,1,2.607,1,211,571
4.762,2,30,1,0.322,2,212,572
6.305,0,21,0,1.248,0,0,573
10.661,1,7,2,2.798,1,121,574
10.646,1,75,1,4.154,1,111,575
12.334,1,63,1,4.028,1,111,576
3.634,2,45,1,4.766,1,211,577
2.587,2,95,1,1.809,1,211,578
6.814,0,91,1,0.869,2,12,579
6.675,0,4,2,0.435,2,22,580
6.154,0,4,2,1.014,2,22,581
5.65,2,38,1,2.242,1,211,582
4.47,2,53,1,0.018,2,212,583
8.906,1,94,1,1.976,1,111,584
6.954,0,73,1,2.179,1,11,585
5.357,2,7,2,3.667,1,221,586
5.105,2,2,2,0.466,2,222,587
3.444,2,56,1,4.915,1,211,588
3.258,2,34,1,0.704,2,212,589
5.895,2,26,0,4.139,1,201,590
10.899,1,98,1,4.7,1,111,591
4.078,2,91,1,3.557,1,211,592
3.467,2,78,1,2.95,1,211,593
13.944,1,81,1,0.767,2,112,594
13.848,1,48,1,3.602,1,111,595
6.292,0,56,1,1.731,0,10,596
10.354,1,38,1,0.074,2,112,597
3.745,2,26,0,1.199,2,202,598
6.874,0,68,1,2.486,1,11,599
0.812,2,21,0,2.418,1,201,600
6.07,0,10,2,0.858,2,22,601
6.716,0,26,0,1.786,0,0,602
4.108,2,28,1,4.552,1,211,603
0.635,2,27,1,2.182,1,211,604
8.707,1,47,1,2.603,1,111,605
11.659,1,74,1,1.686,0,110,606
12.959,1,99,1,2.352,1,111,607
0.259,2,96,1,0.24,2,212,608
12.33,1,20,0,4.102,1,101,609
11.069,1,73,1,3.774,1,111,610
1.481,2,55,1,2.083,1,211,611
6.022,0,90,1,2.723,1,11,612
13.541,1,32,1,0.793,2,112,613
2.111,2,50,1,2.865,1,211,614
3.133,2,0,2,1.286,0,220,615
12.556,1,42,1,2.343,1,111,616
8.73,1,70,1,0.642,2,112,617
9.718,1,28,1,2.174,1,111,618
4.769,2,27,1,1.551,0,210,619
11.172,1,98,1,1.385,0,110,620
10.9,1,72,1,1.473,0,110,621
1.318,2,18,0,0.567,2,202,622
3.116,2,50,1,0.306,2,212,623
6.526,0,9,2,0.664,2,22,624
0.348,2,54,1,1.299,0,210,625
1.2,2,6,2,0.61,2,222,626
1.777,2,29,1,0.566,2,212,627
5.731,2,78,1,2.93,1,211,628
6.677,0,34,1,1.768,0,10,629
1.764,2,96,1,0.202,2,212,630
5.116,2,92,1,0.3,2,212,631
0.913,2,73,1,3.172,1,211,632
4.49,2,6,2,4.779,1,221,633
11.063,1,39,1,2.91,1,111,634
7.252,1,1,2,4.809,1,121,635
5.693,2,63,1,4.544,1,211,636
10.492,1,30,1,1.551,0,110,637
8.054,1,55,1,3.244,1,111,638
2.983,2,45,1,2.508,1,211,639
5.097,2,57,1,2.616,1,211,640
11.66,1,24,0,3.902,1,101,641
13.438,1,61,1,0.035,2,112,642
4.925,2,14,2,1.236,0,220,643
4.981,2,80,1,3.817,1,211,644
0.614,2,34,1,0.079,2,212,645
2.281,2,6,2,2.461,1,221,646
13.292,1,54,1,1.705,0,110,647
8.007,1,7,2,0.743,2,122,648
12.321,1,89,1,1.913,1,111,649
5.32,2,65,1,1.646,0,210,650
7.566,1,25,0,4.383,1,101,651
6.358,0,10,2,1.011,2,22,652
13.568,1,33,1,2.42,1,111,653
7.434,1,62,1,2.807,1,111,654
0.829,2,24,0,1.415,0,200,655
4.55,2,43,1,3.051,1,211,656
7.253,1,27,1,1.899,1,111,657
7.006,1,27,1,0.882,2,112,658
11.614,1,75,1,0.003,2,112,659
11.222,1,86,1,3.633,1,111,660
10.608,1,35,1,4.867,1,111,661
4.418,2,36,1,0.181,2,212,662
11.094,1,62,1,2.985,1,111,663
3.688,2,1,2,2.763,1,221,664
10.736,1,57,1,0.26,2,112,665
10.084,1,76,1,0.409,2,112,666
9.454,1,85,1,1.528,0,110,667
4.929,2,80,1,4.865,1,211,668
2.139,2,44,1,1.496,0,210,669
0.735,2,29,1,2.794,1,211,670
6.284,0,25,0,1.314,0,0,671
1.161,2,20,0,4.925,1,201,672
11.56,1,83,1,3.566,1,111,673
0.663,2,21,0,0.986,2,202,674
10.418,1,17,2,2.187,1,121,675
8.735,1,97,1,2.946,1,111,676
8.989,1,94,1,3.745,1,111,677
6.934,0,19,0,1.596,0,0,678
11.368,1,77,1,3.373,1,111,679
3.601,2,76,1,1.36,0,210,680
10.532,1,46,1,0.78,2,112,681
6.593,0,92,1,2.105,1,11,682
2.321,2,94,1,1.896,1,211,683
11.97,1,37,1,3.098,1,111,684
2.915,2,38,1,2.091,1,211,685
7.823,1,79,1,3.665,1,111,686
9.567,1,79,1,2.372,1,111,687
13.282,1,4,2,4.832,1,121,688
10.501,1,15,2,1.239,0,120,689
11.206,1,90,1,2.28,1,111,690
3.142,2,55,1,0.468,2,212,691
6.404,0,17,2,0.635,2,22,692
0.123,2,8,2,3.196,1,221,693
5.075,2,45,1,2.098,1,211,694
9.842,1,95,1,4.364,1,111,695
9.875,1,6,2,3.926,1,121,696
7.333,1,17,2,3.342,1,121,697
