ph,ph_s,wt,wt_s,ec,ec_s,status
5.52,0,23.15,1,0.01,2,12
5.84,0,21,0,2.02,0,0
12.33,1,86.83,1,0.49,2,112
6.75,1,27,1,1.9,0,110
6.81,1,27,1,1.7,0,110
6.84,1,27,1,1.62,0,110
5.58,0,68.19,1,2.13,0,10
2.62,2,19.6,0,9.07,1,201
2,2,85.18,1,0.67,2,212
6.7,1,27,1,1.98,0,110
6.83,1,27,1,1.62,0,110
6.17,0,18,0,2.39,0,0
4.83,2,18.6,0,1.27,0,200
6.77,1,27,1,1.7,0,110
0.49,2,13.52,2,3.72,1,221
4.36,2,20.77,0,1.53,0,200
12.97,1,40.43,1,0.28,2,112
6.79,1,26.5,1,2.02,0,110
6.02,0,16.9,2,9.04,1,21
4.94,2,32.28,1,0.35,2,212
5.61,0,8.83,2,1.09,2,22
2.71,2,18.1,0,1.8,0,200
5.73,0,78.29,1,8.36,1,11
5.89,0,39.13,1,9.74,1,11
6.84,1,27,1,1.62,0,110
6.8,1,26.5,1,1.63,0,110
5.77,0,21.95,0,4.09,1,1
6.51,1,1.42,2,2.47,0,120
11.01,1,19.93,0,2.21,0,100
4.9,2,22.63,1,5.69,1,211
6.85,1,75.17,1,0.82,2,112
13.67,1,21.78,0,8.64,1,101
9.01,1,20.65,0,0.36,2,102
6.82,1,27,1,1.62,0,110
6.78,1,26.5,1,1.72,0,110
6.8,1,26.5,1,1.63,0,110
6.82,1,26.5,1,1.63,0,110
6.83,1,27,1,1.63,0,110
5.97,0,4.45,2,1.77,0,20
0.35,2,50.28,1,9.49,1,211
0.02,2,91.04,1,1.98,0,210
13.61,1,18.24,0,0.09,2,102
7.38,1,20.16,0,1.13,2,102
6.08,0,0.33,2,0.57,2,22
11.79,1,6.2,2,2,0,120
13.88,1,19.13,0,0.23,2,102
6.75,1,26.5,1,2.05,0,110
13.79,1,60.56,1,8.79,1,111
3.41,2,12.78,2,2.45,0,220
5.99,0,20.11,0,3.91,1,1
6.79,1,26.5,1,1.73,0,110
6.79,1,26.5,1,1.64,0,110
5.76,0,30.56,1,9.57,1,11
5.51,0,62.42,1,4.47,1,11
3.26,2,24.15,1,1.28,0,210
1.48,2,12.1,2,1.77,0,220
6.76,1,26.5,1,1.62,0,110
6.77,1,26,1,1.64,0,110
0.09,2,17.45,2,1.88,0,220
2.72,2,94.3,1,0.31,2,212
0.37,2,55.23,1,0.57,2,212
6.31,1,75.62,1,0.17,2,112
2.07,2,3.59,2,9.2,1,221
11.15,1,19.93,0,0.86,2,102
6.73,1,89.43,1,4.69,1,111
1.93,2,20.1,0,9.12,1,201
5.99,0,22.5,0,2.41,0,0
5.06,2,46.07,1,0.05,2,212
4.36,2,18.72,0,2.34,0,200
6.74,1,27,1,2,0,110
6.19,0,19.02,0,8.63,1,1
5.93,0,2.22,2,8.49,1,21
5.87,0,89.06,1,1.51,0,10
11.54,1,20.22,0,3.74,1,101
6.19,0,2.38,2,0.76,2,22
5.75,0,6.55,2,9.55,1,21
5.74,0,15.24,2,2.4,0,20
6.83,1,26.5,1,1.64,0,110
6.81,1,27,1,1.73,0,110
5.92,0,19.93,0,0.2,2,2
0.48,2,19.95,0,1.11,2,202
4.86,2,18.82,0,1.96,0,200
6.82,1,26.5,1,1.63,0,110
2.44,2,11.53,2,2.39,0,220
1.25,2,12.86,2,3.8,1,221
13.1,1,0.65,2,1.86,0,120
6.8,1,27,1,1.7,0,110
6.77,1,26.5,1,1.71,0,110
6.94,1,18.37,0,1.04,2,102
6.85,1,27,1,1.62,0,110
5.21,2,17.72,2,0.57,2,222
9.76,1,11.27,2,8.92,1,121
6.09,0,80.5,1,0.35,2,12
6.73,1,27,1,1.86,0,110
6.19,0,38.35,1,0.79,2,12
6.83,1,27,1,1.63,0,110
11.14,1,4.15,2,0.94,2,122
6.65,1,0.1,2,0.91,2,122
7.19,1,1.98,2,1.87,0,120
0.55,2,18.98,0,9.16,1,201
12.1,1,92.21,1,1.1,2,112
4.95,2,9.58,2,1.07,2,222
6.04,0,51.65,1,1.25,0,10
5.91,0,11.89,2,5.59,1,21
5.48,2,79.14,1,1.81,0,210
6.14,0,94.97,1,3.89,1,11
8.87,1,19.62,0,0,2,102
9.26,1,15.09,2,1.69,0,120
6.81,1,26.5,1,1.64,0,110
6.82,1,26.5,1,1.63,0,110
6.8,1,26.5,1,1.62,0,110
0.19,2,18.71,0,0.85,2,202
1.24,2,24.3,1,2.44,0,210
6.19,0,18,0,2.22,0,0
8.9,1,21.7,0,0.07,2,102
6.12,0,4.39,2,4.85,1,21
13.01,1,78.75,1,5.08,1,111
0.17,2,83.22,1,0.83,2,212
6.81,1,26.5,1,1.63,0,110
4.32,2,8.26,2,8.57,1,221
4.36,2,62.5,1,4.64,1,211
6.81,1,40.08,1,0.24,2,112
6.83,1,26.5,1,1.71,0,110
5.55,0,20,0,2.02,0,0
5.54,0,3.4,2,0.21,2,22
11.58,1,19.19,0,1.31,0,100
6.78,1,27,1,1.7,0,110
3.78,2,21.87,0,7.71,1,201
10.15,1,21.46,0,0.04,2,102
9.95,1,44.43,1,9.88,1,111
3.58,2,33.32,1,2.08,0,210
7.11,1,32.25,1,9.7,1,111
6.85,1,26.5,1,1.63,0,110
6.81,1,26.5,1,1.63,0,110
0.9,2,20.05,0,1.74,0,200
5.38,2,28.31,1,1.11,2,212
11.79,1,15.69,2,7.94,1,121
5.85,0,18.04,0,2.69,1,1
6.8,1,26.5,1,1.62,0,110
2.38,2,21.06,0,0.6,2,202
5.67,0,7.55,2,7.78,1,21
6.14,0,18.03,0,0.28,2,2
4.87,2,20.46,0,2.25,0,200
6.79,1,26.5,1,1.62,0,110
4.06,2,97.79,1,2.45,0,210
9.3,1,21.66,0,8.49,1,101
8.41,1,37.62,1,3.83,1,111
13.82,1,87.04,1,7.92,1,111
1.62,2,24.56,1,1.13,2,212
5.65,0,7.63,2,4.74,1,21
7.32,1,46.46,1,0.54,2,112
1.42,2,26.5,1,1.7,0,210
2.75,2,49.41,1,2.24,0,210
12.27,1,21.39,0,2.31,0,100
0.95,2,18.72,0,1.16,2,202
9.4,1,21.49,0,4.91,1,101
6.85,1,27,1,1.62,0,110
4.34,2,77.2,1,8.56,1,211
0.93,2,92.28,1,9.42,1,211
8.76,1,13.51,2,0.08,2,122
5.59,0,3.3,2,1.09,2,22
0.68,2,8.59,2,0.02,2,222
13.37,1,19.13,0,1.06,2,102
5.5,0,21,0,2.26,0,0
6.78,1,27,1,1.7,0,110
0.08,2,8.97,2,0.5,2,222
8.95,1,19.55,0,2.48,0,100
6.83,1,26.5,1,1.64,0,110
5.54,0,8.18,2,7.28,1,21
6.69,1,9.95,2,4.57,1,121
1,2,61.12,1,9.11,1,211
10.74,1,16.25,2,1.52,0,120
2.22,2,20.99,0,0.8,2,202
0.02,2,18.44,0,1.69,0,200
0.61,2,17.52,2,0.13,2,222
8.4,1,0.95,2,0.84,2,122
11.73,1,8.34,2,0.59,2,122
13.92,1,7.68,2,0.05,2,122
5.68,0,80.91,1,1.2,0,10
1.51,2,21.06,0,6.09,1,201
6.8,1,26.5,1,1.72,0,110
13.41,1,86.9,1,9.25,1,111
5.9,0,89.49,1,0.88,2,12
11.8,1,21.36,0,9.83,1,101
6.85,1,26.5,1,1.63,0,110
4.17,2,87.47,1,5.39,1,211
1.56,2,21.58,0,7.2,1,201
8.15,1,63.38,1,9.35,1,111
5.86,0,18.29,0,7.4,1,1
13.64,1,96.31,1,0.67,2,112
2.6,2,19.51,0,0.7,2,202
6.82,1,26.5,1,1.64,0,110
5.75,0,64.28,1,5.81,1,11
6.77,1,27,1,1.94,0,110
6.82,1,27,1,1.62,0,110
5.59,0,29.7,1,8.81,1,11
10.66,1,56.76,1,2.94,1,111
6.71,1,27,1,1.98,0,110
6.05,0,99.13,1,3.73,1,11
6.79,1,27,1,1.7,0,110
5.72,0,6.47,2,2.43,0,20
4.81,2,5.27,2,1.51,0,220
7.91,1,18.24,0,2.04,0,100
5.66,0,20.06,0,7.83,1,1
4.95,2,0.06,2,0.08,2,222
6.85,1,26.5,1,1.64,0,110
10.45,1,17.1,2,1.52,0,120
5,2,7.39,2,2.39,0,220
12.53,1,3.24,2,0.08,2,122
6.77,1,27,1,2.04,0,110
7.9,1,3.11,2,1.8,0,120
7.61,1,11.28,2,9.53,1,121
6.76,1,26.5,1,2.05,0,110
6.77,1,26,1,1.68,0,110
7.97,1,19.6,0,1.22,0,100
6.17,0,19,0,2.39,0,0
5.64,0,91.7,1,0.45,2,12
12.89,1,27.27,1,5.64,1,111
6.84,1,27,1,1.63,0,110
6.78,1,26.5,1,2.01,0,110
6.14,0,47.73,1,0.94,2,12
5.74,0,21.54,0,0.51,2,2
6.76,1,26.5,1,1.63,0,110
9.82,1,79.96,1,0.73,2,112
6.83,1,27,1,1.62,0,110
2.95,2,7.98,2,7.97,1,221
11.29,1,99.65,1,8.32,1,111
0.84,2,13.35,2,0.61,2,222
6.7,1,27,1,1.98,0,110
9.79,1,16.68,2,0.85,2,122
7.95,1,15.04,2,2.15,0,120
7.62,1,21.42,0,0.64,2,102
4.36,2,88,1,5.04,1,211
1.81,2,7.54,2,0.4,2,222
2.83,2,0.77,2,3.31,1,221
5.65,0,31.47,1,2.41,0,10
3.9,2,7.92,2,9.11,1,221
9.43,1,19.43,0,7.64,1,101
6.79,1,26.5,1,1.72,0,110
5.73,0,19.55,0,0.08,2,2
6.01,0,40.58,1,0.17,2,12
5.89,0,42.32,1,3.79,1,11
6.78,1,26.5,1,1.64,0,110
1.62,2,83.84,1,8.96,1,211
6.78,1,26.5,1,1.73,0,110
5.9,0,15.68,2,9.55,1,21
3.63,2,63.33,1,2.45,0,210
6.19,0,34.74,1,2.31,0,10
5.91,0,21.07,0,0.42,2,2
4.88,2,21.38,0,5.57,1,201
5.54,0,19.81,0,0.01,2,2
6.06,0,9.46,2,2.27,0,20
5.18,2,20.83,0,0.94,2,202
6.83,1,26.5,1,1.63,0,110
6.12,0,2.05,2,1.32,0,20
7.77,1,0.31,2,9.56,1,121
9.43,1,1.39,2,3.84,1,121
6.13,0,19.9,0,0.08,2,2
5.73,0,17.82,2,1.72,0,20
0.63,2,21.27,0,2.1,0,200
6.16,0,16.22,2,9.7,1,21
0.07,2,10.26,2,1.23,0,220
7.06,1,6.3,2,9,1,121
2.13,2,61.26,1,2.1,0,210
11.15,1,75.12,1,0.66,2,112
11.01,1,17.42,2,8.95,1,121
5.85,0,22.79,1,2.15,0,10
3.4,2,22,0,0.36,2,202
5.71,0,20.08,0,1.08,2,2
6.78,1,27,1,1.89,0,110
12.15,1,18.72,0,1.46,0,100
5.51,0,8.7,2,2.27,0,20
2.32,2,70.51,1,7.55,1,211
12.94,1,2.38,2,3.29,1,121
13.43,1,84.45,1,7.49,1,111
5.71,0,4.96,2,6.58,1,21
9.34,1,14.64,2,0.69,2,122
5.58,0,19.55,0,8.44,1,1
6.74,1,26,1,1.63,0,110
6.77,1,27,1,1.7,0,110
10.81,1,18.12,0,1.57,0,100
6.78,1,26.5,1,1.62,0,110
2.23,2,17.01,2,1.28,0,220
6.75,1,27,1,1.95,0,110
2.54,2,82.1,1,0.12,2,212
2.16,2,91.05,1,9.17,1,211
6.11,0,12.43,2,4.6,1,21
5.8,0,25.7,1,1.04,2,12
8.22,1,6.12,2,1.47,0,120
6.77,1,26.5,1,1.97,0,110
6.78,1,26.5,1,1.71,0,110
5.64,0,15.15,2,0.79,2,22
6.76,1,27,1,2.04,0,110
6.82,1,27,1,1.63,0,110
7.15,1,16.8,2,1.12,2,122
6.17,0,9.72,2,6.36,1,21
6.13,0,20.02,0,0.41,2,2
8.75,1,0.86,2,0.29,2,122
5.11,2,12.89,2,2.48,0,220
6.72,1,27,1,2.02,0,110
6.82,1,27,1,1.7,0,110
5.43,2,11.41,2,1.66,0,220
4.88,2,98.34,1,0.61,2,212
3.95,2,52.68,1,9.5,1,211
6.77,1,26.5,1,2.05,0,110
12.58,1,19.32,0,0.76,2,102
6.11,0,4.45,2,1.64,0,20
9.18,1,4.48,2,4.21,1,121
6.66,1,27,1,1.85,0,110
4.41,2,12.04,2,0.4,2,222
6.78,1,27,1,1.7,0,110
9.36,1,8.64,2,2.32,0,120
6.71,1,27,1,1.99,0,110
3.08,2,21.72,0,2.81,1,201
4.9,2,16.8,2,1.09,2,222
6.83,1,27,1,1.62,0,110
5.79,0,20.5,0,2.27,0,0
0.92,2,7.18,2,2.35,0,220
6.77,1,27,1,1.7,0,110
1.39,2,71.25,1,9.07,1,211
6.85,1,26.5,1,1.64,0,110
5.96,0,19,0,1.54,0,0
13.76,1,25.33,1,2.59,1,111
5.51,0,17.13,2,1.05,2,22
6.81,1,26.5,1,1.63,0,110
9.42,1,20.01,0,0.25,2,102
3.26,2,20.47,0,2.23,0,200
6.81,1,26.5,1,1.64,0,110
3.75,2,21.38,0,2.91,1,201
8.99,1,21.68,0,1.17,2,102
10.33,1,2.85,2,1.51,0,120
0.52,2,18.19,0,1.59,0,200
6.79,1,26.5,1,1.64,0,110
5.83,0,20.14,0,8.27,1,1
2.88,2,28.34,1,2.12,0,210
9.53,1,0.57,2,0.66,2,122
5.72,0,74.36,1,1.09,2,12
10.2,1,21.37,0,1.43,0,100
5.91,0,19.65,0,0.54,2,2
0.87,2,60.63,1,0.59,2,212
5.55,0,19.24,0,0.95,2,2
5.53,0,18.29,0,0.81,2,2
5.78,0,35.84,1,0.65,2,12
6.82,1,27,1,1.62,0,110
7.42,1,19.19,0,1.31,0,100
5.62,0,6.79,2,3.27,1,21
0.09,2,60.98,1,0.96,2,212
1.02,2,9.7,2,0.98,2,222
1.85,2,19.47,0,0.39,2,202
5.71,0,18.44,0,0.64,2,2
8.39,1,28.32,1,7.39,1,111
3.88,2,76.74,1,2.59,1,211
12.33,1,2.65,2,1.03,2,122
4.17,2,10.43,2,1.75,0,220
9.71,1,19.25,0,1.42,0,100
1.1,2,21.18,0,8.52,1,201
1.42,2,10.81,2,5.47,1,221
5.82,0,2.91,2,4.25,1,21
10.05,1,32.06,1,4.9,1,111
0.06,2,3.02,2,5.32,1,221
10.45,1,70.52,1,0.67,2,112
6.12,0,20.57,0,0.38,2,2
5.57,0,18.96,0,0.31,2,2
5.93,0,6.13,2,1.19,2,22
6.78,1,26.5,1,1.63,0,110
12.75,1,10.02,2,0.86,2,122
0.56,2,94.74,1,1.21,0,210
6.8,1,27,1,1.7,0,110
6.77,1,27,1,1.7,0,110
6.8,1,26.5,1,1.64,0,110
6.82,1,26.5,1,1.63,0,110
6.04,0,18.61,0,0.13,2,2
6.77,1,27,1,1.87,0,110
5.61,0,19,0,2.45,0,0
6.83,1,26.5,1,1.63,0,110
4.66,2,23.21,1,3.56,1,211
5.83,0,10.59,2,0.14,2,22
8.81,1,99.82,1,7.37,1,111
6.74,1,26,1,1.63,0,110
8.72,1,21.23,0,1.41,0,100
5.78,0,11.38,2,5.84,1,21
1.08,2,79.24,1,1.33,0,210
4.46,2,53.88,1,1.79,0,210
6.77,1,27,1,1.7,0,110
11.34,1,14.17,2,1.44,0,120
6.16,0,20.25,0,0.49,2,2
6.16,0,20,0,1.9,0,0
6.46,1,18.76,0,1.53,0,100
0.69,2,18.9,0,1.49,0,200
6.8,1,27,1,1.7,0,110
6.81,1,26.5,1,1.63,0,110
6.85,1,26.5,1,1.64,0,110
6.8,1,26.5,1,1.72,0,110
6.05,0,9.11,2,0.77,2,22
6.83,1,27,1,1.62,0,110
5.66,0,19,0,1.36,0,0
4.02,2,19.99,0,0.32,2,202
3.86,2,19.36,0,0.32,2,202
6.79,1,26.5,1,1.71,0,110
2.02,2,8.81,2,5.96,1,221
3.51,2,19.62,0,6.03,1,201
5.65,0,34.17,1,1.84,0,10
9.02,1,5.87,2,0.82,2,122
5.78,0,69.73,1,0.78,2,12
6.75,1,26.5,1,2.01,0,110
12.4,1,5.61,2,1.99,0,120
8.3,1,21.35,0,1.86,0,100
2.21,2,70.4,1,1.21,0,210
6.77,1,26.5,1,1.73,0,110
8.54,1,45.29,1,0.53,2,112
5.55,0,36.77,1,1.52,0,10
7.92,1,49.61,1,0.89,2,112
3.78,2,9.6,2,2.26,0,220
11.94,1,20.42,0,2.36,0,100
11.26,1,19.8,0,0.17,2,102
5.99,0,18,0,1.9,0,0
3.28,2,69.53,1,0.3,2,212
6.83,1,26.5,1,1.64,0,110
6.78,1,26.5,1,1.62,0,110
5.79,0,2.8,2,6.81,1,21
2.54,2,18.94,0,0.73,2,202
6.78,1,26.5,1,1.64,0,110
6.16,0,21.91,0,0.14,2,2
1.13,2,96.56,1,6.54,1,211
6.04,0,20,0,1.58,0,0
2.03,2,19.13,0,2.43,0,200
7.99,1,49.73,1,7.24,1,111
11.35,1,10.59,2,2.38,0,120
6.82,1,27,1,1.63,0,110
11.98,1,52.98,1,1.09,2,112
10.96,1,18.03,0,0.31,2,102
4.63,2,96.64,1,2.1,0,210
0.46,2,13.67,2,0.19,2,222
0.55,2,12.99,2,1.97,0,220
6.1,0,20.51,0,6.04,1,1
12.44,1,57.02,1,5.63,1,111
2.78,2,96.62,1,0.04,2,212
5.54,0,21.93,0,0.3,2,2
6.06,0,4.94,2,9.3,1,21
5.29,2,40.37,1,0.04,2,212
13.77,1,19.28,0,7.53,1,101
5.65,0,3.6,2,0.36,2,22
6.91,1,20.54,0,1.91,0,100
6.8,1,26.5,1,1.71,0,110
2.08,2,3.97,2,8.35,1,221
2.15,2,21.61,0,0.21,2,202
1.74,2,84.79,1,1.95,0,210
0.09,2,27.52,1,2.29,0,210
6.73,1,27,1,2.05,0,110
13.23,1,6.13,2,1.42,0,120
8.46,1,82.85,1,0.13,2,112
5.66,0,0.78,2,0.33,2,22
6.06,0,95.81,1,0.86,2,12
8.96,1,69.2,1,0.9,2,112
8.02,1,54.71,1,1.18,2,112
5.93,0,19.18,0,4.35,1,1
5.57,0,3.12,2,5.84,1,21
12.78,1,4.16,2,1.7,0,120
6.79,1,27,1,1.77,0,110
6.75,1,26,1,1.64,0,110
6.1,0,96.69,1,0.66,2,12
4.86,2,83.44,1,1.06,2,212
3.2,2,20.21,0,3.48,1,201
9.91,1,18.75,0,5.19,1,101
6.09,0,20,0,1.87,0,0
9.1,1,5.95,2,1.81,0,120
3.82,2,4.41,2,4.73,1,221
6.09,0,17.84,2,2.17,0,20
6.77,1,27,1,2.04,0,110
5.65,0,21.28,0,0.12,2,2
2.11,2,30.07,1,8.3,1,211
4.72,2,3.44,2,0.93,2,222
6.17,0,21.04,0,0.29,2,2
6.74,1,26,1,1.64,0,110
9.59,1,21.76,0,4.37,1,101
2.92,2,88.01,1,9.79,1,211
8.48,1,19.46,0,1.54,0,100
2.98,2,90.27,1,0.49,2,212
6.76,1,26.5,1,1.71,0,110
6,0,11.35,2,2.01,0,20
4.28,2,10.7,2,5.36,1,221
5.76,0,20.17,0,7.89,1,1
9.71,1,18.34,0,2.77,1,101
6.73,1,27,1,2.01,0,110
3.9,2,4.18,2,2.11,0,220
6.74,1,26,1,1.63,0,110
5.26,2,20.88,0,8.97,1,201
7.23,1,63.89,1,0.15,2,112
3.48,2,28.72,1,0.49,2,212
4.37,2,21.31,0,5.08,1,201
6.79,1,26.5,1,1.72,0,110
0.7,2,96.72,1,1.29,0,210
6.02,0,18.05,0,9.89,1,1
6.81,1,26.5,1,1.63,0,110
6.79,1,26.5,1,1.62,0,110
6.75,1,26.5,1,2.04,0,110
8.85,1,6.9,2,0.12,2,122
6.77,1,26.5,1,2.05,0,110
11.87,1,38.9,1,5.25,1,111
6.64,1,21.45,0,7.67,1,101
4.91,2,31.03,1,0.88,2,212
6.83,1,26.5,1,1.63,0,110
6.84,1,26.5,1,1.64,0,110
8.84,1,20.74,0,2.12,0,100
6.85,1,26.5,1,1.63,0,110
2.75,2,19.51,0,1.02,2,202
1.26,2,21.86,0,1.44,0,200
6.81,1,26.5,1,1.72,0,110
0.47,2,2.07,2,3.97,1,221
2.43,2,40.04,1,8.34,1,211
1.19,2,10.52,2,2.36,0,220
2.47,2,4.77,2,1.22,0,220
6.84,1,26.5,1,1.64,0,110
5.13,2,20.24,0,0.58,2,202
5.82,0,38.77,1,0.19,2,12
5.83,0,20.5,0,2.26,0,0
1.13,2,15.37,2,2.06,0,220
11.37,1,12.32,2,1.13,2,122
5.96,0,42.83,1,0.26,2,12
6.73,1,27,1,1.95,0,110
5.99,0,0.86,2,9.06,1,21
12.94,1,20.49,0,2.32,0,100
6.12,0,12.9,2,1.08,2,22
0.56,2,7.28,2,3.17,1,221
2.49,2,19.75,0,1.35,0,200
5.7,0,55.53,1,0.51,2,12
6.08,0,6.18,2,2.1,0,20
6.78,1,26.5,1,2.02,0,110
12.73,1,18.85,0,4.13,1,101
5.96,0,98.84,1,1.68,0,10
3.42,2,5.47,2,8.67,1,221
1.9,2,29.57,1,1.75,0,210
7.02,1,75.76,1,0.8,2,112
6.83,1,27,1,1.84,0,110
11.25,1,12.58,2,0.69,2,122
6.75,1,27,1,1.9,0,110
5.79,0,19.75,0,0.56,2,2
6.83,1,27,1,1.63,0,110
8.46,1,19.28,0,9.73,1,101
5.63,0,70.12,1,0.99,2,12
12.4,1,14.49,2,2.03,0,120
3.48,2,8.51,2,0.91,2,222
5.42,2,95.86,1,1.65,0,210
5.57,0,23.05,1,1.71,0,10
8.13,1,10.45,2,9.2,1,121
9.28,1,15.76,2,4.09,1,121
1.11,2,74.62,1,6.37,1,211
1.02,2,29.13,1,3,1,211
6.79,1,27,1,1.91,0,110
6.07,0,23.4,1,2.11,0,10
5.76,0,6.14,2,0.28,2,22
11.84,1,20.49,0,7.3,1,101
6.71,1,27,1,1.99,0,110
6.82,1,27,1,1.7,0,110
6.78,1,26,1,1.57,0,110
5.6,0,3.81,2,0.48,2,22
3.58,2,1.13,2,2.76,1,221
6.76,1,27,1,1.9,0,110
0.88,2,15.88,2,9.26,1,221
5.68,0,20.41,0,0.68,2,2
5.37,2,12.19,2,9.96,1,221
5.96,0,30.09,1,2.42,0,10
10.31,1,11.91,2,2.81,1,121
6.73,1,27,1,2.03,0,110
8.23,1,18.36,0,2.07,0,100
6.69,1,18.28,0,9.42,1,101
5.64,0,21.85,0,1.04,2,2
0.32,2,11.87,2,1.27,0,220
6.72,1,19.54,0,3.5,1,101
5.15,2,12.12,2,0.02,2,222
6.73,1,27,1,1.87,0,110
5.65,0,40.05,1,0.73,2,12
10.34,1,3.03,2,1.12,2,122
11.09,1,20.77,0,1.75,0,100
5.83,0,32.57,1,7.17,1,11
5.64,0,21,0,1.96,0,0
1.63,2,24.88,1,2.35,0,210
4.14,2,89.68,1,0.5,2,212
2.52,2,35.65,1,1.99,0,210
6.42,1,11.13,2,6.05,1,121
5.71,0,21.62,0,0.44,2,2
5.57,0,17.05,2,2.36,0,20
9.26,1,2.61,2,5.84,1,121
5.64,0,80.5,1,7.27,1,11
3.81,2,18.51,0,0.82,2,202
6.78,1,26.5,1,2.02,0,110
5.74,0,79.73,1,1.87,0,10
11.39,1,12.3,2,6.36,1,121
6.77,1,26.5,1,1.64,0,110
6.84,1,26.5,1,1.64,0,110
5.96,0,20.72,0,9.28,1,1
5.11,2,21.38,0,0.5,2,202
5.6,0,19.93,0,8.6,1,1
6.1,0,53.01,1,7.23,1,11
6.19,0,6.4,2,0.71,2,22
7.87,1,11.48,2,1.35,0,120
10.95,1,64.8,1,0.28,2,112
2.09,2,20.59,0,2.26,0,200
6.79,1,26.5,1,1.72,0,110
